prefix,ip_version,asn,asn_name
119.11.181.0/24,ipv4,AS10217,PT. NTT Indonesia
119.11.128.0/18,ipv4,AS10217,PT. NTT Indonesia
202.171.0.0/19,ipv4,AS10217,PT. NTT Indonesia
202.171.2.0/24,ipv4,AS10217,PT. NTT Indonesia
119.11.130.0/23,ipv4,AS10217,PT. NTT Indonesia
119.11.192.0/18,ipv4,AS10217,PT. NTT Indonesia
2404:c8::/32,ipv6,AS10217,PT. NTT Indonesia
202.171.16.0/20,ipv4,AS10217,PT. NTT Indonesia
202.171.0.0/20,ipv4,AS10217,PT. NTT Indonesia
119.11.250.0/24,ipv4,AS10217,PT. NTT Indonesia
119.11.251.0/24,ipv4,AS10217,PT. NTT Indonesia
119.11.128.0/17,ipv4,AS10217,PT. NTT Indonesia
202.171.27.0/24,ipv4,AS10217,PT. NTT Indonesia
119.11.209.0/24,ipv4,AS10217,PT. NTT Indonesia
119.11.200.0/24,ipv4,AS10217,PT. NTT Indonesia
