prefix,ip_version,asn,asn_name
2402:e300:3::/48,ipv6,AS131706,PT SELARAS CITRA TERABIT
121.101.134.0/23,ipv4,AS131706,PT SELARAS CITRA TERABIT
110.76.150.0/24,ipv4,AS131706,PT SELARAS CITRA TERABIT
121.101.130.0/23,ipv4,AS131706,PT SELARAS CITRA TERABIT
121.101.132.0/23,ipv4,AS131706,PT SELARAS CITRA TERABIT
103.247.15.0/24,ipv4,AS131706,PT SELARAS CITRA TERABIT
121.101.128.0/21,ipv4,AS131706,PT SELARAS CITRA TERABIT
121.101.129.0/24,ipv4,AS131706,PT SELARAS CITRA TERABIT
121.101.132.0/24,ipv4,AS131706,PT SELARAS CITRA TERABIT
121.101.128.0/24,ipv4,AS131706,PT SELARAS CITRA TERABIT
103.146.132.0/23,ipv4,AS131706,PT SELARAS CITRA TERABIT
2402:e300:e400::/48,ipv6,AS131706,PT SELARAS CITRA TERABIT
121.101.133.0/24,ipv4,AS131706,PT SELARAS CITRA TERABIT
2402:e300:ffff::/48,ipv6,AS131706,PT SELARAS CITRA TERABIT
121.101.134.0/24,ipv4,AS131706,PT SELARAS CITRA TERABIT
103.247.14.0/24,ipv4,AS131706,PT SELARAS CITRA TERABIT
121.101.130.0/24,ipv4,AS131706,PT SELARAS CITRA TERABIT
103.247.14.0/23,ipv4,AS131706,PT SELARAS CITRA TERABIT
2402:e300:2::/48,ipv6,AS131706,PT SELARAS CITRA TERABIT
2402:e300:e500::/48,ipv6,AS131706,PT SELARAS CITRA TERABIT
103.247.13.0/24,ipv4,AS131706,PT SELARAS CITRA TERABIT
2402:e300:4::/48,ipv6,AS131706,PT SELARAS CITRA TERABIT
121.101.135.0/24,ipv4,AS131706,PT SELARAS CITRA TERABIT
121.101.131.0/24,ipv4,AS131706,PT SELARAS CITRA TERABIT
2402:e300::/48,ipv6,AS131706,PT SELARAS CITRA TERABIT
2402:e300::/32,ipv6,AS131706,PT SELARAS CITRA TERABIT
