prefix,ip_version,asn,asn_name
2402:1d20:72::/48,ipv6,AS131711,PT Global Teknologi Teraindo
2402:1d20:125::/48,ipv6,AS131711,PT Global Teknologi Teraindo
45.251.74.0/23,ipv4,AS131711,PT Global Teknologi Teraindo
103.9.124.0/23,ipv4,AS131711,PT Global Teknologi Teraindo
2402:1d20::/32,ipv6,AS131711,PT Global Teknologi Teraindo
2402:1d20::/48,ipv6,AS131711,PT Global Teknologi Teraindo
103.9.126.0/24,ipv4,AS131711,PT Global Teknologi Teraindo
103.9.126.0/23,ipv4,AS131711,PT Global Teknologi Teraindo
2402:1d20:126::/48,ipv6,AS131711,PT Global Teknologi Teraindo
45.251.73.0/24,ipv4,AS131711,PT Global Teknologi Teraindo
2402:1d20:73::/48,ipv6,AS131711,PT Global Teknologi Teraindo
103.9.125.0/24,ipv4,AS131711,PT Global Teknologi Teraindo
45.251.75.0/24,ipv4,AS131711,PT Global Teknologi Teraindo
2402:1d20:75::/48,ipv6,AS131711,PT Global Teknologi Teraindo
2402:1d20:124::/48,ipv6,AS131711,PT Global Teknologi Teraindo
103.9.124.0/22,ipv4,AS131711,PT Global Teknologi Teraindo
2402:1d20:74::/48,ipv6,AS131711,PT Global Teknologi Teraindo
103.9.124.0/24,ipv4,AS131711,PT Global Teknologi Teraindo
45.251.72.0/22,ipv4,AS131711,PT Global Teknologi Teraindo
45.251.74.0/24,ipv4,AS131711,PT Global Teknologi Teraindo
45.251.72.0/24,ipv4,AS131711,PT Global Teknologi Teraindo
2402:1d20:127::/48,ipv6,AS131711,PT Global Teknologi Teraindo
103.9.127.0/24,ipv4,AS131711,PT Global Teknologi Teraindo
45.251.72.0/23,ipv4,AS131711,PT Global Teknologi Teraindo
