prefix,ip_version,asn,asn_name
103.149.140.0/23,ipv4,AS131713,PT Sano Komunikasi
103.9.146.0/24,ipv4,AS131713,PT Sano Komunikasi
2407:6380::/32,ipv6,AS131713,PT Sano Komunikasi
103.149.141.0/24,ipv4,AS131713,PT Sano Komunikasi
103.149.140.0/24,ipv4,AS131713,PT Sano Komunikasi
103.9.144.0/24,ipv4,AS131713,PT Sano Komunikasi
103.9.144.0/23,ipv4,AS131713,PT Sano Komunikasi
103.9.145.0/24,ipv4,AS131713,PT Sano Komunikasi
2001:df3:2980::/48,ipv6,AS131713,PT Sano Komunikasi
103.9.147.0/24,ipv4,AS131713,PT Sano Komunikasi
103.9.144.0/22,ipv4,AS131713,PT Sano Komunikasi
103.9.146.0/23,ipv4,AS131713,PT Sano Komunikasi
