prefix,ip_version,asn,asn_name
2401:10c0:4000::/34,ipv6,AS131717,PT Citra Jelajah Informatika
115.178.54.0/24,ipv4,AS131717,PT Citra Jelajah Informatika
115.178.53.0/24,ipv4,AS131717,PT Citra Jelajah Informatika
45.118.115.0/24,ipv4,AS131717,PT Citra Jelajah Informatika
103.110.10.0/24,ipv4,AS131717,PT Citra Jelajah Informatika
45.118.112.0/24,ipv4,AS131717,PT Citra Jelajah Informatika
103.25.167.0/24,ipv4,AS131717,PT Citra Jelajah Informatika
45.118.113.0/24,ipv4,AS131717,PT Citra Jelajah Informatika
115.178.51.0/24,ipv4,AS131717,PT Citra Jelajah Informatika
103.14.21.0/24,ipv4,AS131717,PT Citra Jelajah Informatika
2401:10c0:8000::/34,ipv6,AS131717,PT Citra Jelajah Informatika
103.184.99.0/24,ipv4,AS131717,PT Citra Jelajah Informatika
103.25.166.0/24,ipv4,AS131717,PT Citra Jelajah Informatika
103.184.98.0/24,ipv4,AS131717,PT Citra Jelajah Informatika
2401:10c0::/34,ipv6,AS131717,PT Citra Jelajah Informatika
2401:10c0:c000::/34,ipv6,AS131717,PT Citra Jelajah Informatika
103.110.11.0/24,ipv4,AS131717,PT Citra Jelajah Informatika
103.110.8.0/24,ipv4,AS131717,PT Citra Jelajah Informatika
45.118.114.0/24,ipv4,AS131717,PT Citra Jelajah Informatika
115.178.52.0/24,ipv4,AS131717,PT Citra Jelajah Informatika
103.110.9.0/24,ipv4,AS131717,PT Citra Jelajah Informatika
2401:10c0::/32,ipv6,AS131717,PT Citra Jelajah Informatika
103.14.20.0/24,ipv4,AS131717,PT Citra Jelajah Informatika
