prefix,ip_version,asn,asn_name
103.30.247.0/24,ipv4,AS131745,PT. Cybertechtonic Pratama
202.83.123.0/24,ipv4,AS131745,PT. Cybertechtonic Pratama
2400:85e0:9::/48,ipv6,AS131745,PT. Cybertechtonic Pratama
103.139.175.0/24,ipv4,AS131745,PT. Cybertechtonic Pratama
210.247.252.0/24,ipv4,AS131745,PT. Cybertechtonic Pratama
2400:85e0:3::/48,ipv6,AS131745,PT. Cybertechtonic Pratama
2400:85e0:8::/48,ipv6,AS131745,PT. Cybertechtonic Pratama
202.83.122.0/24,ipv4,AS131745,PT. Cybertechtonic Pratama
202.83.121.0/24,ipv4,AS131745,PT. Cybertechtonic Pratama
210.247.245.0/24,ipv4,AS131745,PT. Cybertechtonic Pratama
2400:85e0:7::/48,ipv6,AS131745,PT. Cybertechtonic Pratama
2400:85e0:1::/48,ipv6,AS131745,PT. Cybertechtonic Pratama
210.247.243.0/24,ipv4,AS131745,PT. Cybertechtonic Pratama
103.3.215.0/24,ipv4,AS131745,PT. Cybertechtonic Pratama
103.30.246.0/24,ipv4,AS131745,PT. Cybertechtonic Pratama
210.247.254.0/24,ipv4,AS131745,PT. Cybertechtonic Pratama
2400:85e0:804::/48,ipv6,AS131745,PT. Cybertechtonic Pratama
210.247.242.0/24,ipv4,AS131745,PT. Cybertechtonic Pratama
210.247.246.0/24,ipv4,AS131745,PT. Cybertechtonic Pratama
210.247.255.0/24,ipv4,AS131745,PT. Cybertechtonic Pratama
103.241.192.0/24,ipv4,AS131745,PT. Cybertechtonic Pratama
210.247.249.0/24,ipv4,AS131745,PT. Cybertechtonic Pratama
210.247.247.0/24,ipv4,AS131745,PT. Cybertechtonic Pratama
2400:85e0::/48,ipv6,AS131745,PT. Cybertechtonic Pratama
210.247.250.0/24,ipv4,AS131745,PT. Cybertechtonic Pratama
2400:85e0:807::/48,ipv6,AS131745,PT. Cybertechtonic Pratama
49.128.187.0/24,ipv4,AS131745,PT. Cybertechtonic Pratama
210.247.244.0/24,ipv4,AS131745,PT. Cybertechtonic Pratama
103.30.245.0/24,ipv4,AS131745,PT. Cybertechtonic Pratama
49.128.185.0/24,ipv4,AS131745,PT. Cybertechtonic Pratama
103.30.244.0/24,ipv4,AS131745,PT. Cybertechtonic Pratama
49.128.186.0/24,ipv4,AS131745,PT. Cybertechtonic Pratama
2400:85e0:4::/48,ipv6,AS131745,PT. Cybertechtonic Pratama
210.247.253.0/24,ipv4,AS131745,PT. Cybertechtonic Pratama
2400:85e0:5::/48,ipv6,AS131745,PT. Cybertechtonic Pratama
210.247.240.0/24,ipv4,AS131745,PT. Cybertechtonic Pratama
210.247.248.0/24,ipv4,AS131745,PT. Cybertechtonic Pratama
210.247.251.0/24,ipv4,AS131745,PT. Cybertechtonic Pratama
2400:85e0:2::/48,ipv6,AS131745,PT. Cybertechtonic Pratama
49.128.184.0/24,ipv4,AS131745,PT. Cybertechtonic Pratama
202.83.120.0/24,ipv4,AS131745,PT. Cybertechtonic Pratama
2400:85e0:6::/48,ipv6,AS131745,PT. Cybertechtonic Pratama
