prefix,ip_version,asn,asn_name
2400:f340:9::/48,ipv6,AS131746,PT. Medianusa Permana
2400:f340:62::/48,ipv6,AS131746,PT. Medianusa Permana
103.21.205.0/24,ipv4,AS131746,PT. Medianusa Permana
103.21.204.0/22,ipv4,AS131746,PT. Medianusa Permana
103.21.206.0/24,ipv4,AS131746,PT. Medianusa Permana
2400:f340:e5::/48,ipv6,AS131746,PT. Medianusa Permana
103.21.207.0/24,ipv4,AS131746,PT. Medianusa Permana
2400:f340:2::/48,ipv6,AS131746,PT. Medianusa Permana
103.248.197.0/24,ipv4,AS131746,PT. Medianusa Permana
103.248.196.0/24,ipv4,AS131746,PT. Medianusa Permana
2400:f340:1d::/48,ipv6,AS131746,PT. Medianusa Permana
103.131.247.0/24,ipv4,AS131746,PT. Medianusa Permana
103.21.204.0/24,ipv4,AS131746,PT. Medianusa Permana
103.248.198.0/24,ipv4,AS131746,PT. Medianusa Permana
103.248.199.0/24,ipv4,AS131746,PT. Medianusa Permana
103.248.196.0/22,ipv4,AS131746,PT. Medianusa Permana
