prefix,ip_version,asn,asn_name
103.31.134.0/24,ipv4,AS131749,PT. Arthatama Adhiprima Persada
103.31.132.0/22,ipv4,AS131749,PT. Arthatama Adhiprima Persada
2402:be80::/34,ipv6,AS131749,PT. Arthatama Adhiprima Persada
103.31.132.0/24,ipv4,AS131749,PT. Arthatama Adhiprima Persada
2402:be80:d9ab::/48,ipv6,AS131749,PT. Arthatama Adhiprima Persada
103.31.134.0/23,ipv4,AS131749,PT. Arthatama Adhiprima Persada
103.31.133.0/24,ipv4,AS131749,PT. Arthatama Adhiprima Persada
2402:be80::/32,ipv6,AS131749,PT. Arthatama Adhiprima Persada
2402:be80::/33,ipv6,AS131749,PT. Arthatama Adhiprima Persada
2402:be80:8000::/33,ipv6,AS131749,PT. Arthatama Adhiprima Persada
103.31.135.0/24,ipv4,AS131749,PT. Arthatama Adhiprima Persada
2402:be80:4000::/34,ipv6,AS131749,PT. Arthatama Adhiprima Persada
103.31.132.0/23,ipv4,AS131749,PT. Arthatama Adhiprima Persada
2402:be80:8000::/34,ipv6,AS131749,PT. Arthatama Adhiprima Persada
2402:be80:c000::/34,ipv6,AS131749,PT. Arthatama Adhiprima Persada
