prefix,ip_version,asn,asn_name
103.16.133.0/24,ipv4,AS131769,PT Mayatama Solusindo
203.18.39.0/24,ipv4,AS131769,PT Mayatama Solusindo
103.211.160.0/24,ipv4,AS131769,PT Mayatama Solusindo
103.111.86.0/24,ipv4,AS131769,PT Mayatama Solusindo
203.153.21.0/24,ipv4,AS131769,PT Mayatama Solusindo
203.153.22.0/24,ipv4,AS131769,PT Mayatama Solusindo
103.102.249.0/24,ipv4,AS131769,PT Mayatama Solusindo
103.227.148.0/24,ipv4,AS131769,PT Mayatama Solusindo
2400:c080:3::/48,ipv6,AS131769,PT Mayatama Solusindo
103.16.132.0/24,ipv4,AS131769,PT Mayatama Solusindo
103.141.254.0/24,ipv4,AS131769,PT Mayatama Solusindo
103.227.149.0/24,ipv4,AS131769,PT Mayatama Solusindo
203.153.20.0/24,ipv4,AS131769,PT Mayatama Solusindo
103.102.248.0/24,ipv4,AS131769,PT Mayatama Solusindo
103.177.218.0/24,ipv4,AS131769,PT Mayatama Solusindo
160.22.177.0/24,ipv4,AS131769,PT Mayatama Solusindo
103.116.13.0/24,ipv4,AS131769,PT Mayatama Solusindo
2400:c080:2::/48,ipv6,AS131769,PT Mayatama Solusindo
103.141.255.0/24,ipv4,AS131769,PT Mayatama Solusindo
210.87.122.0/24,ipv4,AS131769,PT Mayatama Solusindo
