prefix,ip_version,asn,asn_name
27.124.83.0/24,ipv4,AS132634,Direktorat E-Goverment Kementerian KOMINFO
103.225.242.0/24,ipv4,AS132634,Direktorat E-Goverment Kementerian KOMINFO
103.8.238.0/24,ipv4,AS132634,Direktorat E-Goverment Kementerian KOMINFO
103.18.117.0/24,ipv4,AS132634,Direktorat E-Goverment Kementerian KOMINFO
103.170.104.0/23,ipv4,AS132634,Direktorat E-Goverment Kementerian KOMINFO
103.25.108.0/24,ipv4,AS132634,Direktorat E-Goverment Kementerian KOMINFO
103.134.19.0/24,ipv4,AS132634,Direktorat E-Goverment Kementerian KOMINFO
202.10.51.0/24,ipv4,AS132634,Direktorat E-Goverment Kementerian KOMINFO
103.134.18.0/24,ipv4,AS132634,Direktorat E-Goverment Kementerian KOMINFO
202.10.50.0/24,ipv4,AS132634,Direktorat E-Goverment Kementerian KOMINFO
