prefix,ip_version,asn,asn_name
2405:3dc0:4::/48,ipv6,AS132642,Universitas Ahmad Dahlan
2405:3dc0::/32,ipv6,AS132642,Universitas Ahmad Dahlan
2405:3dc0:3::/48,ipv6,AS132642,Universitas Ahmad Dahlan
2405:3dc0:2::/48,ipv6,AS132642,Universitas Ahmad Dahlan
103.19.183.0/24,ipv4,AS132642,Universitas Ahmad Dahlan
2405:3dc0:6::/48,ipv6,AS132642,Universitas Ahmad Dahlan
103.19.182.0/24,ipv4,AS132642,Universitas Ahmad Dahlan
103.19.180.0/24,ipv4,AS132642,Universitas Ahmad Dahlan
2405:3dc0:1::/48,ipv6,AS132642,Universitas Ahmad Dahlan
2405:3dc0::/48,ipv6,AS132642,Universitas Ahmad Dahlan
2405:3dc0:5::/48,ipv6,AS132642,Universitas Ahmad Dahlan
103.19.181.0/24,ipv4,AS132642,Universitas Ahmad Dahlan
