prefix,ip_version,asn,asn_name
116.204.250.0/23,ipv4,AS132644,PT. Cyberindo Mega Persada
116.204.248.0/23,ipv4,AS132644,PT. Cyberindo Mega Persada
45.126.132.0/22,ipv4,AS132644,PT. Cyberindo Mega Persada
103.24.12.0/23,ipv4,AS132644,PT. Cyberindo Mega Persada
116.204.130.0/24,ipv4,AS132644,PT. Cyberindo Mega Persada
103.253.68.0/23,ipv4,AS132644,PT. Cyberindo Mega Persada
116.204.129.0/24,ipv4,AS132644,PT. Cyberindo Mega Persada
116.204.128.0/24,ipv4,AS132644,PT. Cyberindo Mega Persada
2001:df2:c000::/48,ipv6,AS132644,PT. Cyberindo Mega Persada
116.204.131.0/24,ipv4,AS132644,PT. Cyberindo Mega Persada
