prefix,ip_version,asn,asn_name
103.19.176.0/24,ipv4,AS132647,Pengelola Nama Domain Internet Indonesia
2402:ee80:c::/48,ipv6,AS132647,Pengelola Nama Domain Internet Indonesia
45.126.59.0/24,ipv4,AS132647,Pengelola Nama Domain Internet Indonesia
45.126.57.0/24,ipv4,AS132647,Pengelola Nama Domain Internet Indonesia
103.19.177.0/24,ipv4,AS132647,Pengelola Nama Domain Internet Indonesia
2001:df5:4000::/48,ipv6,AS132647,Pengelola Nama Domain Internet Indonesia
2402:ee80:d::/48,ipv6,AS132647,Pengelola Nama Domain Internet Indonesia
45.126.58.0/24,ipv4,AS132647,Pengelola Nama Domain Internet Indonesia
103.19.178.0/24,ipv4,AS132647,Pengelola Nama Domain Internet Indonesia
103.19.179.0/24,ipv4,AS132647,Pengelola Nama Domain Internet Indonesia
2402:ee80:b::/48,ipv6,AS132647,Pengelola Nama Domain Internet Indonesia
2402:ee80:58::/48,ipv6,AS132647,Pengelola Nama Domain Internet Indonesia
2402:ee80:176::/48,ipv6,AS132647,Pengelola Nama Domain Internet Indonesia
45.126.56.0/24,ipv4,AS132647,Pengelola Nama Domain Internet Indonesia
2402:ee80:56::/48,ipv6,AS132647,Pengelola Nama Domain Internet Indonesia
