prefix,ip_version,asn,asn_name
103.112.45.0/24,ipv4,AS132669,PT Globalnet Multi Data
2400:b8a0:44::/48,ipv6,AS132669,PT Globalnet Multi Data
103.112.44.0/24,ipv4,AS132669,PT Globalnet Multi Data
103.112.5.0/24,ipv4,AS132669,PT Globalnet Multi Data
2400:b8a0:132::/48,ipv6,AS132669,PT Globalnet Multi Data
2400:b8a0:1::/48,ipv6,AS132669,PT Globalnet Multi Data
103.248.248.0/24,ipv4,AS132669,PT Globalnet Multi Data
2400:b8a0:248::/48,ipv6,AS132669,PT Globalnet Multi Data
2400:b8a0::/32,ipv6,AS132669,PT Globalnet Multi Data
2400:b8a0:45::/48,ipv6,AS132669,PT Globalnet Multi Data
2400:b8a0:5::/48,ipv6,AS132669,PT Globalnet Multi Data
