prefix,ip_version,asn,asn_name
103.231.203.0/24,ipv4,AS133352,PT. Berdikari Prima Mandiri
103.231.200.0/22,ipv4,AS133352,PT. Berdikari Prima Mandiri
43.250.78.0/24,ipv4,AS133352,PT. Berdikari Prima Mandiri
103.231.201.0/24,ipv4,AS133352,PT. Berdikari Prima Mandiri
43.250.76.0/22,ipv4,AS133352,PT. Berdikari Prima Mandiri
43.250.76.0/24,ipv4,AS133352,PT. Berdikari Prima Mandiri
103.231.200.0/24,ipv4,AS133352,PT. Berdikari Prima Mandiri
43.250.79.0/24,ipv4,AS133352,PT. Berdikari Prima Mandiri
103.231.202.0/24,ipv4,AS133352,PT. Berdikari Prima Mandiri
43.250.77.0/24,ipv4,AS133352,PT. Berdikari Prima Mandiri
