prefix,ip_version,asn,asn_name
103.43.128.0/24,ipv4,AS133797,PT Rekajasa Akses
45.122.58.0/24,ipv4,AS133797,PT Rekajasa Akses
103.43.131.0/24,ipv4,AS133797,PT Rekajasa Akses
45.122.56.0/24,ipv4,AS133797,PT Rekajasa Akses
103.43.128.0/22,ipv4,AS133797,PT Rekajasa Akses
103.43.129.0/24,ipv4,AS133797,PT Rekajasa Akses
45.122.59.0/24,ipv4,AS133797,PT Rekajasa Akses
45.122.56.0/22,ipv4,AS133797,PT Rekajasa Akses
45.122.57.0/24,ipv4,AS133797,PT Rekajasa Akses
103.43.130.0/24,ipv4,AS133797,PT Rekajasa Akses
