prefix,ip_version,asn,asn_name
103.42.253.0/24,ipv4,AS133799,PT. GOMEDS NETWORK
123.108.66.0/24,ipv4,AS133799,PT. GOMEDS NETWORK
103.42.254.0/24,ipv4,AS133799,PT. GOMEDS NETWORK
2401:be80::/48,ipv6,AS133799,PT. GOMEDS NETWORK
123.108.67.0/24,ipv4,AS133799,PT. GOMEDS NETWORK
103.42.255.0/24,ipv4,AS133799,PT. GOMEDS NETWORK
103.42.252.0/24,ipv4,AS133799,PT. GOMEDS NETWORK
123.108.64.0/24,ipv4,AS133799,PT. GOMEDS NETWORK
123.108.65.0/24,ipv4,AS133799,PT. GOMEDS NETWORK
2401:be80:1::/48,ipv6,AS133799,PT. GOMEDS NETWORK
103.42.252.0/22,ipv4,AS133799,PT. GOMEDS NETWORK
2401:be80::/32,ipv6,AS133799,PT. GOMEDS NETWORK
