prefix,ip_version,asn,asn_name
2400:6f20:6::/48,ipv6,AS133809,PT. Artorius Telemetri Sentosa
103.50.128.0/24,ipv4,AS133809,PT. Artorius Telemetri Sentosa
2400:6f20::/48,ipv6,AS133809,PT. Artorius Telemetri Sentosa
103.50.128.0/22,ipv4,AS133809,PT. Artorius Telemetri Sentosa
103.50.131.0/24,ipv4,AS133809,PT. Artorius Telemetri Sentosa
2400:6f20:3::/48,ipv6,AS133809,PT. Artorius Telemetri Sentosa
2400:6f20:5::/48,ipv6,AS133809,PT. Artorius Telemetri Sentosa
103.50.130.0/24,ipv4,AS133809,PT. Artorius Telemetri Sentosa
2400:6f20:1::/48,ipv6,AS133809,PT. Artorius Telemetri Sentosa
103.50.129.0/24,ipv4,AS133809,PT. Artorius Telemetri Sentosa
2400:6f20:4::/48,ipv6,AS133809,PT. Artorius Telemetri Sentosa
