prefix,ip_version,asn,asn_name
103.188.51.0/24,ipv4,AS133815,PT Primacom Interbuana
103.190.219.0/24,ipv4,AS133815,PT Primacom Interbuana
2403:bac0::/32,ipv6,AS133815,PT Primacom Interbuana
103.188.41.0/24,ipv4,AS133815,PT Primacom Interbuana
103.150.16.0/23,ipv4,AS133815,PT Primacom Interbuana
103.152.110.0/23,ipv4,AS133815,PT Primacom Interbuana
103.151.100.0/23,ipv4,AS133815,PT Primacom Interbuana
103.152.70.0/23,ipv4,AS133815,PT Primacom Interbuana
103.149.224.0/24,ipv4,AS133815,PT Primacom Interbuana
103.52.44.0/24,ipv4,AS133815,PT Primacom Interbuana
103.149.232.0/23,ipv4,AS133815,PT Primacom Interbuana
103.130.136.0/24,ipv4,AS133815,PT Primacom Interbuana
103.52.44.0/23,ipv4,AS133815,PT Primacom Interbuana
103.188.53.0/24,ipv4,AS133815,PT Primacom Interbuana
103.130.136.0/23,ipv4,AS133815,PT Primacom Interbuana
103.52.46.0/23,ipv4,AS133815,PT Primacom Interbuana
103.52.47.0/24,ipv4,AS133815,PT Primacom Interbuana
103.150.4.0/23,ipv4,AS133815,PT Primacom Interbuana
103.188.50.0/24,ipv4,AS133815,PT Primacom Interbuana
103.150.12.0/23,ipv4,AS133815,PT Primacom Interbuana
103.149.232.0/24,ipv4,AS133815,PT Primacom Interbuana
103.149.233.0/24,ipv4,AS133815,PT Primacom Interbuana
103.150.34.0/23,ipv4,AS133815,PT Primacom Interbuana
103.141.152.0/24,ipv4,AS133815,PT Primacom Interbuana
103.152.96.0/23,ipv4,AS133815,PT Primacom Interbuana
103.188.52.0/23,ipv4,AS133815,PT Primacom Interbuana
103.52.44.0/22,ipv4,AS133815,PT Primacom Interbuana
103.149.230.0/23,ipv4,AS133815,PT Primacom Interbuana
103.141.150.0/23,ipv4,AS133815,PT Primacom Interbuana
103.149.234.0/24,ipv4,AS133815,PT Primacom Interbuana
103.141.153.0/24,ipv4,AS133815,PT Primacom Interbuana
103.141.151.0/24,ipv4,AS133815,PT Primacom Interbuana
103.190.216.0/23,ipv4,AS133815,PT Primacom Interbuana
103.130.137.0/24,ipv4,AS133815,PT Primacom Interbuana
103.152.96.0/24,ipv4,AS133815,PT Primacom Interbuana
103.151.194.0/23,ipv4,AS133815,PT Primacom Interbuana
103.151.18.0/23,ipv4,AS133815,PT Primacom Interbuana
103.149.225.0/24,ipv4,AS133815,PT Primacom Interbuana
103.130.136.0/22,ipv4,AS133815,PT Primacom Interbuana
103.190.220.0/23,ipv4,AS133815,PT Primacom Interbuana
103.52.46.0/24,ipv4,AS133815,PT Primacom Interbuana
103.188.52.0/24,ipv4,AS133815,PT Primacom Interbuana
103.150.14.0/23,ipv4,AS133815,PT Primacom Interbuana
103.149.234.0/23,ipv4,AS133815,PT Primacom Interbuana
103.52.45.0/24,ipv4,AS133815,PT Primacom Interbuana
103.152.90.0/23,ipv4,AS133815,PT Primacom Interbuana
103.141.152.0/23,ipv4,AS133815,PT Primacom Interbuana
103.188.40.0/23,ipv4,AS133815,PT Primacom Interbuana
103.190.218.0/24,ipv4,AS133815,PT Primacom Interbuana
103.149.224.0/23,ipv4,AS133815,PT Primacom Interbuana
2403:57c0::/32,ipv6,AS133815,PT Primacom Interbuana
103.130.138.0/23,ipv4,AS133815,PT Primacom Interbuana
103.188.40.0/24,ipv4,AS133815,PT Primacom Interbuana
103.188.50.0/23,ipv4,AS133815,PT Primacom Interbuana
103.149.235.0/24,ipv4,AS133815,PT Primacom Interbuana
103.190.218.0/23,ipv4,AS133815,PT Primacom Interbuana
103.141.150.0/24,ipv4,AS133815,PT Primacom Interbuana
