prefix,ip_version,asn,asn_name
103.161.191.0/24,ipv4,AS133823,PT Infokom Elektrindo
103.104.132.0/23,ipv4,AS133823,PT Infokom Elektrindo
103.211.234.0/23,ipv4,AS133823,PT Infokom Elektrindo
103.161.141.0/24,ipv4,AS133823,PT Infokom Elektrindo
103.211.233.0/24,ipv4,AS133823,PT Infokom Elektrindo
103.54.95.0/24,ipv4,AS133823,PT Infokom Elektrindo
103.104.134.0/23,ipv4,AS133823,PT Infokom Elektrindo
103.104.134.0/24,ipv4,AS133823,PT Infokom Elektrindo
103.111.199.0/24,ipv4,AS133823,PT Infokom Elektrindo
103.54.94.0/24,ipv4,AS133823,PT Infokom Elektrindo
103.104.133.0/24,ipv4,AS133823,PT Infokom Elektrindo
103.211.234.0/24,ipv4,AS133823,PT Infokom Elektrindo
45.116.159.0/24,ipv4,AS133823,PT Infokom Elektrindo
103.161.190.0/24,ipv4,AS133823,PT Infokom Elektrindo
103.104.135.0/24,ipv4,AS133823,PT Infokom Elektrindo
45.116.158.0/24,ipv4,AS133823,PT Infokom Elektrindo
103.161.140.0/23,ipv4,AS133823,PT Infokom Elektrindo
45.116.157.0/24,ipv4,AS133823,PT Infokom Elektrindo
45.116.158.0/23,ipv4,AS133823,PT Infokom Elektrindo
103.104.132.0/24,ipv4,AS133823,PT Infokom Elektrindo
103.54.93.0/24,ipv4,AS133823,PT Infokom Elektrindo
103.211.232.0/23,ipv4,AS133823,PT Infokom Elektrindo
103.162.130.0/24,ipv4,AS133823,PT Infokom Elektrindo
103.111.196.0/24,ipv4,AS133823,PT Infokom Elektrindo
103.211.235.0/24,ipv4,AS133823,PT Infokom Elektrindo
45.116.156.0/24,ipv4,AS133823,PT Infokom Elektrindo
103.111.197.0/24,ipv4,AS133823,PT Infokom Elektrindo
103.162.131.0/24,ipv4,AS133823,PT Infokom Elektrindo
45.116.156.0/23,ipv4,AS133823,PT Infokom Elektrindo
103.211.232.0/24,ipv4,AS133823,PT Infokom Elektrindo
103.111.198.0/24,ipv4,AS133823,PT Infokom Elektrindo
103.161.140.0/24,ipv4,AS133823,PT Infokom Elektrindo
103.162.130.0/23,ipv4,AS133823,PT Infokom Elektrindo
103.54.94.0/23,ipv4,AS133823,PT Infokom Elektrindo
