prefix,ip_version,asn,asn_name
103.95.6.0/23,ipv4,AS133827,UNIVERSITAS ISLAM INDONESIA
103.55.139.0/24,ipv4,AS133827,UNIVERSITAS ISLAM INDONESIA
2404:a640::/32,ipv6,AS133827,UNIVERSITAS ISLAM INDONESIA
2404:a640:113::/48,ipv6,AS133827,UNIVERSITAS ISLAM INDONESIA
103.220.113.0/24,ipv4,AS133827,UNIVERSITAS ISLAM INDONESIA
103.95.6.0/24,ipv4,AS133827,UNIVERSITAS ISLAM INDONESIA
2404:a640:956::/48,ipv6,AS133827,UNIVERSITAS ISLAM INDONESIA
2404:a640:139::/48,ipv6,AS133827,UNIVERSITAS ISLAM INDONESIA
2404:a640:957::/48,ipv6,AS133827,UNIVERSITAS ISLAM INDONESIA
103.95.7.0/24,ipv4,AS133827,UNIVERSITAS ISLAM INDONESIA
