prefix,ip_version,asn,asn_name
2404:e100:4006::/48,ipv6,AS133840,PT Jala Lintas Media
2404:e100:3007::/48,ipv6,AS133840,PT Jala Lintas Media
103.66.70.0/24,ipv4,AS133840,PT Jala Lintas Media
203.161.21.0/24,ipv4,AS133840,PT Jala Lintas Media
2404:e100:4004::/48,ipv6,AS133840,PT Jala Lintas Media
203.161.20.0/24,ipv4,AS133840,PT Jala Lintas Media
2404:e100:3006::/48,ipv6,AS133840,PT Jala Lintas Media
203.161.18.0/24,ipv4,AS133840,PT Jala Lintas Media
2404:e100:3001::/48,ipv6,AS133840,PT Jala Lintas Media
2404:e100:3008::/48,ipv6,AS133840,PT Jala Lintas Media
2404:e100:3004::/48,ipv6,AS133840,PT Jala Lintas Media
2404:e100:4005::/48,ipv6,AS133840,PT Jala Lintas Media
