prefix,ip_version,asn,asn_name
113.192.28.0/23,ipv4,AS134651,PT Yetoya Solusi Indonesia
103.208.204.0/24,ipv4,AS134651,PT Yetoya Solusi Indonesia
2404:4780::/48,ipv6,AS134651,PT Yetoya Solusi Indonesia
38.253.237.0/24,ipv4,AS134651,PT Yetoya Solusi Indonesia
38.253.250.0/24,ipv4,AS134651,PT Yetoya Solusi Indonesia
103.208.204.0/23,ipv4,AS134651,PT Yetoya Solusi Indonesia
103.148.188.0/24,ipv4,AS134651,PT Yetoya Solusi Indonesia
113.192.29.0/24,ipv4,AS134651,PT Yetoya Solusi Indonesia
103.208.205.0/24,ipv4,AS134651,PT Yetoya Solusi Indonesia
38.253.250.0/23,ipv4,AS134651,PT Yetoya Solusi Indonesia
113.192.28.0/24,ipv4,AS134651,PT Yetoya Solusi Indonesia
113.192.26.0/24,ipv4,AS134651,PT Yetoya Solusi Indonesia
103.208.206.0/24,ipv4,AS134651,PT Yetoya Solusi Indonesia
38.253.251.0/24,ipv4,AS134651,PT Yetoya Solusi Indonesia
103.208.206.0/23,ipv4,AS134651,PT Yetoya Solusi Indonesia
103.208.207.0/24,ipv4,AS134651,PT Yetoya Solusi Indonesia
103.148.189.0/24,ipv4,AS134651,PT Yetoya Solusi Indonesia
113.192.27.0/24,ipv4,AS134651,PT Yetoya Solusi Indonesia
103.208.204.0/22,ipv4,AS134651,PT Yetoya Solusi Indonesia
