prefix,ip_version,asn,asn_name
103.209.184.0/24,ipv4,AS134655,PT. DUMAI MANDIRI NET
103.209.186.0/24,ipv4,AS134655,PT. DUMAI MANDIRI NET
103.209.187.0/24,ipv4,AS134655,PT. DUMAI MANDIRI NET
2404:5980::/32,ipv6,AS134655,PT. DUMAI MANDIRI NET
103.209.185.0/24,ipv4,AS134655,PT. DUMAI MANDIRI NET
203.96.228.0/24,ipv4,AS134655,PT. DUMAI MANDIRI NET
203.96.229.0/24,ipv4,AS134655,PT. DUMAI MANDIRI NET
103.131.245.0/24,ipv4,AS134655,PT. DUMAI MANDIRI NET
203.96.228.0/23,ipv4,AS134655,PT. DUMAI MANDIRI NET
103.247.211.0/24,ipv4,AS134655,PT. DUMAI MANDIRI NET
103.131.236.0/24,ipv4,AS134655,PT. DUMAI MANDIRI NET
