prefix,ip_version,asn,asn_name
2407:6f80:1310::/48,ipv6,AS135477,PT. Java Digital Nusantara
120.89.91.0/24,ipv4,AS135477,PT. Java Digital Nusantara
203.29.26.0/24,ipv4,AS135477,PT. Java Digital Nusantara
103.76.149.0/24,ipv4,AS135477,PT. Java Digital Nusantara
103.15.215.0/24,ipv4,AS135477,PT. Java Digital Nusantara
103.122.1.0/24,ipv4,AS135477,PT. Java Digital Nusantara
103.76.150.0/24,ipv4,AS135477,PT. Java Digital Nusantara
103.3.58.0/24,ipv4,AS135477,PT. Java Digital Nusantara
203.29.27.0/24,ipv4,AS135477,PT. Java Digital Nusantara
2407:6f80::/32,ipv6,AS135477,PT. Java Digital Nusantara
2407:6f80::/33,ipv6,AS135477,PT. Java Digital Nusantara
120.89.90.0/24,ipv4,AS135477,PT. Java Digital Nusantara
103.76.151.0/24,ipv4,AS135477,PT. Java Digital Nusantara
103.15.214.0/24,ipv4,AS135477,PT. Java Digital Nusantara
2407:6f80:8000::/33,ipv6,AS135477,PT. Java Digital Nusantara
103.122.0.0/24,ipv4,AS135477,PT. Java Digital Nusantara
103.241.178.0/24,ipv4,AS135477,PT. Java Digital Nusantara
202.47.88.0/24,ipv4,AS135477,PT. Java Digital Nusantara
103.76.148.0/24,ipv4,AS135477,PT. Java Digital Nusantara
