prefix,ip_version,asn,asn_name
103.111.100.0/24,ipv4,AS136093,PT Mitra Lintas Multimedia
103.111.101.0/24,ipv4,AS136093,PT Mitra Lintas Multimedia
154.47.149.0/24,ipv4,AS136093,PT Mitra Lintas Multimedia
154.47.150.0/24,ipv4,AS136093,PT Mitra Lintas Multimedia
103.220.217.0/24,ipv4,AS136093,PT Mitra Lintas Multimedia
103.111.95.0/24,ipv4,AS136093,PT Mitra Lintas Multimedia
103.111.96.0/24,ipv4,AS136093,PT Mitra Lintas Multimedia
154.38.30.0/24,ipv4,AS136093,PT Mitra Lintas Multimedia
103.111.99.0/24,ipv4,AS136093,PT Mitra Lintas Multimedia
154.38.29.0/24,ipv4,AS136093,PT Mitra Lintas Multimedia
103.111.98.0/24,ipv4,AS136093,PT Mitra Lintas Multimedia
154.47.148.0/24,ipv4,AS136093,PT Mitra Lintas Multimedia
103.175.209.0/24,ipv4,AS136093,PT Mitra Lintas Multimedia
103.111.139.0/24,ipv4,AS136093,PT Mitra Lintas Multimedia
154.38.31.0/24,ipv4,AS136093,PT Mitra Lintas Multimedia
103.88.168.0/24,ipv4,AS136093,PT Mitra Lintas Multimedia
103.111.136.0/24,ipv4,AS136093,PT Mitra Lintas Multimedia
103.111.137.0/24,ipv4,AS136093,PT Mitra Lintas Multimedia
103.111.102.0/24,ipv4,AS136093,PT Mitra Lintas Multimedia
103.175.208.0/24,ipv4,AS136093,PT Mitra Lintas Multimedia
103.88.170.0/24,ipv4,AS136093,PT Mitra Lintas Multimedia
103.111.103.0/24,ipv4,AS136093,PT Mitra Lintas Multimedia
103.111.93.0/24,ipv4,AS136093,PT Mitra Lintas Multimedia
154.38.28.0/24,ipv4,AS136093,PT Mitra Lintas Multimedia
103.111.97.0/24,ipv4,AS136093,PT Mitra Lintas Multimedia
154.47.151.0/24,ipv4,AS136093,PT Mitra Lintas Multimedia
103.88.169.0/24,ipv4,AS136093,PT Mitra Lintas Multimedia
103.111.94.0/24,ipv4,AS136093,PT Mitra Lintas Multimedia
103.111.138.0/24,ipv4,AS136093,PT Mitra Lintas Multimedia
103.88.171.0/24,ipv4,AS136093,PT Mitra Lintas Multimedia
103.220.216.0/24,ipv4,AS136093,PT Mitra Lintas Multimedia
103.111.92.0/24,ipv4,AS136093,PT Mitra Lintas Multimedia
103.41.78.0/24,ipv4,AS136093,PT Mitra Lintas Multimedia
2400:e4c0:4::/48,ipv6,AS136093,PT Mitra Lintas Multimedia
103.41.79.0/24,ipv4,AS136093,PT Mitra Lintas Multimedia
