prefix,ip_version,asn,asn_name
103.87.185.0/24,ipv4,AS136106,PT. Mega Akses Persada
123.176.126.0/23,ipv4,AS136106,PT. Mega Akses Persada
103.206.186.0/24,ipv4,AS136106,PT. Mega Akses Persada
2400:d740:8000::/34,ipv6,AS136106,PT. Mega Akses Persada
2400:d740::/33,ipv6,AS136106,PT. Mega Akses Persada
2400:d740:c000::/34,ipv6,AS136106,PT. Mega Akses Persada
123.176.121.0/24,ipv4,AS136106,PT. Mega Akses Persada
103.87.184.0/22,ipv4,AS136106,PT. Mega Akses Persada
103.87.186.0/23,ipv4,AS136106,PT. Mega Akses Persada
2400:d740::/48,ipv6,AS136106,PT. Mega Akses Persada
123.176.127.0/24,ipv4,AS136106,PT. Mega Akses Persada
2400:d740:8000::/33,ipv6,AS136106,PT. Mega Akses Persada
123.176.123.0/24,ipv4,AS136106,PT. Mega Akses Persada
103.87.184.0/23,ipv4,AS136106,PT. Mega Akses Persada
103.87.187.0/24,ipv4,AS136106,PT. Mega Akses Persada
2400:d740::/34,ipv6,AS136106,PT. Mega Akses Persada
103.87.184.0/24,ipv4,AS136106,PT. Mega Akses Persada
123.176.124.0/24,ipv4,AS136106,PT. Mega Akses Persada
123.176.122.0/23,ipv4,AS136106,PT. Mega Akses Persada
123.176.126.0/24,ipv4,AS136106,PT. Mega Akses Persada
123.176.124.0/22,ipv4,AS136106,PT. Mega Akses Persada
123.176.122.0/24,ipv4,AS136106,PT. Mega Akses Persada
123.176.125.0/24,ipv4,AS136106,PT. Mega Akses Persada
2400:d740:4000::/34,ipv6,AS136106,PT. Mega Akses Persada
2400:d740::/32,ipv6,AS136106,PT. Mega Akses Persada
