prefix,ip_version,asn,asn_name
202.157.186.0/23,ipv4,AS136170,PT. EXABYTES NETWORK INDONESIA
45.64.0.0/22,ipv4,AS136170,PT. EXABYTES NETWORK INDONESIA
123.100.226.0/24,ipv4,AS136170,PT. EXABYTES NETWORK INDONESIA
202.157.176.0/23,ipv4,AS136170,PT. EXABYTES NETWORK INDONESIA
202.157.184.0/23,ipv4,AS136170,PT. EXABYTES NETWORK INDONESIA
103.25.222.0/23,ipv4,AS136170,PT. EXABYTES NETWORK INDONESIA
202.157.185.0/24,ipv4,AS136170,PT. EXABYTES NETWORK INDONESIA
202.157.188.0/23,ipv4,AS136170,PT. EXABYTES NETWORK INDONESIA
49.50.8.0/22,ipv4,AS136170,PT. EXABYTES NETWORK INDONESIA
103.11.74.0/23,ipv4,AS136170,PT. EXABYTES NETWORK INDONESIA
202.157.177.0/24,ipv4,AS136170,PT. EXABYTES NETWORK INDONESIA
103.229.72.0/22,ipv4,AS136170,PT. EXABYTES NETWORK INDONESIA
103.82.240.0/22,ipv4,AS136170,PT. EXABYTES NETWORK INDONESIA
103.229.73.0/24,ipv4,AS136170,PT. EXABYTES NETWORK INDONESIA
