prefix,ip_version,asn,asn_name
103.186.209.0/24,ipv4,AS136873,MEGADATA-ISP
103.105.52.0/22,ipv4,AS136873,MEGADATA-ISP
103.105.54.0/24,ipv4,AS136873,MEGADATA-ISP
103.75.84.0/23,ipv4,AS136873,MEGADATA-ISP
103.75.84.0/24,ipv4,AS136873,MEGADATA-ISP
223.25.110.0/24,ipv4,AS136873,MEGADATA-ISP
103.75.85.0/24,ipv4,AS136873,MEGADATA-ISP
103.165.157.0/24,ipv4,AS136873,MEGADATA-ISP
160.22.8.0/24,ipv4,AS136873,MEGADATA-ISP
157.66.128.0/24,ipv4,AS136873,MEGADATA-ISP
2402:2a40:113::/48,ipv6,AS136873,MEGADATA-ISP
157.66.129.0/24,ipv4,AS136873,MEGADATA-ISP
2402:2a40:111::/48,ipv6,AS136873,MEGADATA-ISP
2402:2a40:114::/48,ipv6,AS136873,MEGADATA-ISP
103.213.234.0/24,ipv4,AS136873,MEGADATA-ISP
2402:2a40:b2b::/48,ipv6,AS136873,MEGADATA-ISP
103.105.52.0/24,ipv4,AS136873,MEGADATA-ISP
103.105.52.0/23,ipv4,AS136873,MEGADATA-ISP
2402:2a40:13::/48,ipv6,AS136873,MEGADATA-ISP
103.165.156.0/24,ipv4,AS136873,MEGADATA-ISP
103.105.54.0/23,ipv4,AS136873,MEGADATA-ISP
103.105.53.0/24,ipv4,AS136873,MEGADATA-ISP
2402:2a40::/32,ipv6,AS136873,MEGADATA-ISP
103.105.55.0/24,ipv4,AS136873,MEGADATA-ISP
2402:2a40:112::/48,ipv6,AS136873,MEGADATA-ISP
2402:2a40:d411::/48,ipv6,AS136873,MEGADATA-ISP
160.22.9.0/24,ipv4,AS136873,MEGADATA-ISP
103.116.49.0/24,ipv4,AS136873,MEGADATA-ISP
154.58.138.0/24,ipv4,AS136873,MEGADATA-ISP
223.25.106.0/24,ipv4,AS136873,MEGADATA-ISP
103.165.156.0/23,ipv4,AS136873,MEGADATA-ISP
