prefix,ip_version,asn,asn_name
103.51.106.0/23,ipv4,AS137289,PT. SIGMA CIPTA CARAKA
103.146.246.0/24,ipv4,AS137289,PT. SIGMA CIPTA CARAKA
103.107.102.0/24,ipv4,AS137289,PT. SIGMA CIPTA CARAKA
103.146.244.0/24,ipv4,AS137289,PT. SIGMA CIPTA CARAKA
103.107.101.0/24,ipv4,AS137289,PT. SIGMA CIPTA CARAKA
103.147.3.0/24,ipv4,AS137289,PT. SIGMA CIPTA CARAKA
103.147.2.0/24,ipv4,AS137289,PT. SIGMA CIPTA CARAKA
103.51.107.0/24,ipv4,AS137289,PT. SIGMA CIPTA CARAKA
103.147.5.0/24,ipv4,AS137289,PT. SIGMA CIPTA CARAKA
103.147.4.0/24,ipv4,AS137289,PT. SIGMA CIPTA CARAKA
103.146.245.0/24,ipv4,AS137289,PT. SIGMA CIPTA CARAKA
103.107.100.0/24,ipv4,AS137289,PT. SIGMA CIPTA CARAKA
103.107.103.0/24,ipv4,AS137289,PT. SIGMA CIPTA CARAKA
103.79.51.0/24,ipv4,AS137289,PT. SIGMA CIPTA CARAKA
103.51.106.0/24,ipv4,AS137289,PT. SIGMA CIPTA CARAKA
103.79.50.0/24,ipv4,AS137289,PT. SIGMA CIPTA CARAKA
103.79.50.0/23,ipv4,AS137289,PT. SIGMA CIPTA CARAKA
103.146.247.0/24,ipv4,AS137289,PT. SIGMA CIPTA CARAKA
