prefix,ip_version,asn,asn_name
2402:aa40:11::/48,ipv6,AS137330,PT Pisangmas Rayatama Perkasa
2402:aa40:17::/48,ipv6,AS137330,PT Pisangmas Rayatama Perkasa
2402:aa40:15::/48,ipv6,AS137330,PT Pisangmas Rayatama Perkasa
2402:aa40:2::/48,ipv6,AS137330,PT Pisangmas Rayatama Perkasa
2402:aa40:5::/48,ipv6,AS137330,PT Pisangmas Rayatama Perkasa
2402:aa40:8::/48,ipv6,AS137330,PT Pisangmas Rayatama Perkasa
2402:aa40:20::/48,ipv6,AS137330,PT Pisangmas Rayatama Perkasa
103.112.136.0/24,ipv4,AS137330,PT Pisangmas Rayatama Perkasa
2402:aa40:18::/48,ipv6,AS137330,PT Pisangmas Rayatama Perkasa
2402:aa40:4::/48,ipv6,AS137330,PT Pisangmas Rayatama Perkasa
2402:aa40:19::/48,ipv6,AS137330,PT Pisangmas Rayatama Perkasa
2402:aa40:6::/48,ipv6,AS137330,PT Pisangmas Rayatama Perkasa
2402:aa40:12::/48,ipv6,AS137330,PT Pisangmas Rayatama Perkasa
2402:aa40:7::/48,ipv6,AS137330,PT Pisangmas Rayatama Perkasa
103.112.136.0/23,ipv4,AS137330,PT Pisangmas Rayatama Perkasa
2402:aa40:9::/48,ipv6,AS137330,PT Pisangmas Rayatama Perkasa
2402:aa40:1::/48,ipv6,AS137330,PT Pisangmas Rayatama Perkasa
2402:aa40:14::/48,ipv6,AS137330,PT Pisangmas Rayatama Perkasa
2402:aa40:13::/48,ipv6,AS137330,PT Pisangmas Rayatama Perkasa
2402:aa40:3::/48,ipv6,AS137330,PT Pisangmas Rayatama Perkasa
2402:aa40:10::/48,ipv6,AS137330,PT Pisangmas Rayatama Perkasa
2402:aa40::/32,ipv6,AS137330,PT Pisangmas Rayatama Perkasa
103.112.137.0/24,ipv4,AS137330,PT Pisangmas Rayatama Perkasa
2402:aa40:16::/48,ipv6,AS137330,PT Pisangmas Rayatama Perkasa
103.112.139.0/24,ipv4,AS137330,PT Pisangmas Rayatama Perkasa
