prefix,ip_version,asn,asn_name
103.116.174.0/24,ipv4,AS137363,PT. Quanta Tunas Abadi
103.116.172.0/24,ipv4,AS137363,PT. Quanta Tunas Abadi
2402:fdc0::/32,ipv6,AS137363,PT. Quanta Tunas Abadi
2402:fdc0:c800::/48,ipv6,AS137363,PT. Quanta Tunas Abadi
202.10.32.0/24,ipv4,AS137363,PT. Quanta Tunas Abadi
202.10.33.0/24,ipv4,AS137363,PT. Quanta Tunas Abadi
103.116.173.0/24,ipv4,AS137363,PT. Quanta Tunas Abadi
103.116.172.0/22,ipv4,AS137363,PT. Quanta Tunas Abadi
202.10.57.0/24,ipv4,AS137363,PT. Quanta Tunas Abadi
202.10.56.0/24,ipv4,AS137363,PT. Quanta Tunas Abadi
103.116.175.0/24,ipv4,AS137363,PT. Quanta Tunas Abadi
2402:fdc0:c802::/48,ipv6,AS137363,PT. Quanta Tunas Abadi
2402:fdc0:1373::/48,ipv6,AS137363,PT. Quanta Tunas Abadi
202.10.52.0/24,ipv4,AS137363,PT. Quanta Tunas Abadi
2402:fdc0:c803::/48,ipv6,AS137363,PT. Quanta Tunas Abadi
202.10.32.0/23,ipv4,AS137363,PT. Quanta Tunas Abadi
2402:fdc0:c801::/48,ipv6,AS137363,PT. Quanta Tunas Abadi
