prefix,ip_version,asn,asn_name
2403:8c40:9003::/48,ipv6,AS138064,PT. Jinom Network Indonesia
2403:8c40:93::/48,ipv6,AS138064,PT. Jinom Network Indonesia
103.175.82.0/24,ipv4,AS138064,PT. Jinom Network Indonesia
103.122.67.0/24,ipv4,AS138064,PT. Jinom Network Indonesia
103.122.64.0/24,ipv4,AS138064,PT. Jinom Network Indonesia
103.70.92.0/24,ipv4,AS138064,PT. Jinom Network Indonesia
103.175.83.0/24,ipv4,AS138064,PT. Jinom Network Indonesia
103.122.65.0/24,ipv4,AS138064,PT. Jinom Network Indonesia
103.122.66.0/24,ipv4,AS138064,PT. Jinom Network Indonesia
103.70.93.0/24,ipv4,AS138064,PT. Jinom Network Indonesia
38.3.160.0/24,ipv4,AS138064,PT. Jinom Network Indonesia
