prefix,ip_version,asn,asn_name
103.150.179.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
72.57.160.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
202.155.104.0/22,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
72.57.157.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
103.160.155.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
72.57.162.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
157.119.235.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
2407:14c0:104::/48,ipv6,AS138077,PT Abhinawa Sumberdaya Asia
103.52.2.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
36.50.46.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
117.103.116.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
72.57.158.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
103.87.70.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
36.50.47.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
103.160.55.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
72.57.161.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
160.20.222.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
110.44.170.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
103.7.187.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
72.57.156.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
103.160.154.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
202.56.175.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
2407:14c0::/32,ipv6,AS138077,PT Abhinawa Sumberdaya Asia
203.84.140.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
103.87.71.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
202.56.174.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
2407:14c0:100::/40,ipv6,AS138077,PT Abhinawa Sumberdaya Asia
103.130.199.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
72.57.155.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
2407:14c0::/40,ipv6,AS138077,PT Abhinawa Sumberdaya Asia
203.84.138.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
72.57.164.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
2401:44c0:3::/48,ipv6,AS138077,PT Abhinawa Sumberdaya Asia
117.103.117.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
103.130.198.0/23,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
72.57.159.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
157.66.188.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
72.57.163.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
110.44.172.0/22,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
103.242.76.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
103.16.137.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
160.250.198.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
103.130.198.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
160.250.199.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
202.56.173.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
101.1.4.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
103.160.54.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
202.56.172.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
157.66.189.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
103.52.3.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
103.16.139.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
103.16.138.0/24,ipv4,AS138077,PT Abhinawa Sumberdaya Asia
