prefix,ip_version,asn,asn_name
103.124.139.0/24,ipv4,AS138089,PT.Global Media Data Prima
2403:e0c0:4::/48,ipv6,AS138089,PT.Global Media Data Prima
157.20.253.0/24,ipv4,AS138089,PT.Global Media Data Prima
45.198.32.0/24,ipv4,AS138089,PT.Global Media Data Prima
2403:e0c0::/32,ipv6,AS138089,PT.Global Media Data Prima
103.124.138.0/24,ipv4,AS138089,PT.Global Media Data Prima
2403:e0c0:3::/48,ipv6,AS138089,PT.Global Media Data Prima
2403:e0c0:2::/48,ipv6,AS138089,PT.Global Media Data Prima
113.192.48.0/24,ipv4,AS138089,PT.Global Media Data Prima
157.20.252.0/24,ipv4,AS138089,PT.Global Media Data Prima
2403:e0c0:1::/48,ipv6,AS138089,PT.Global Media Data Prima
103.131.18.0/23,ipv4,AS138089,PT.Global Media Data Prima
160.191.180.0/24,ipv4,AS138089,PT.Global Media Data Prima
103.124.136.0/23,ipv4,AS138089,PT.Global Media Data Prima
103.124.138.0/23,ipv4,AS138089,PT.Global Media Data Prima
103.124.137.0/24,ipv4,AS138089,PT.Global Media Data Prima
165.99.225.0/24,ipv4,AS138089,PT.Global Media Data Prima
157.20.252.0/23,ipv4,AS138089,PT.Global Media Data Prima
103.131.18.0/24,ipv4,AS138089,PT.Global Media Data Prima
157.20.244.0/24,ipv4,AS138089,PT.Global Media Data Prima
103.158.13.0/24,ipv4,AS138089,PT.Global Media Data Prima
103.63.26.0/24,ipv4,AS138089,PT.Global Media Data Prima
103.124.136.0/24,ipv4,AS138089,PT.Global Media Data Prima
210.87.74.0/24,ipv4,AS138089,PT.Global Media Data Prima
45.198.32.0/23,ipv4,AS138089,PT.Global Media Data Prima
2403:e0c0:13::/48,ipv6,AS138089,PT.Global Media Data Prima
103.131.19.0/24,ipv4,AS138089,PT.Global Media Data Prima
