prefix,ip_version,asn,asn_name
202.134.231.0/24,ipv4,AS138096,PT INFORMASI NUSANTARA TEKNOLOGI
161.248.117.0/24,ipv4,AS138096,PT INFORMASI NUSANTARA TEKNOLOGI
103.124.196.0/24,ipv4,AS138096,PT INFORMASI NUSANTARA TEKNOLOGI
202.47.73.0/24,ipv4,AS138096,PT INFORMASI NUSANTARA TEKNOLOGI
204.157.241.0/24,ipv4,AS138096,PT INFORMASI NUSANTARA TEKNOLOGI
210.79.135.0/24,ipv4,AS138096,PT INFORMASI NUSANTARA TEKNOLOGI
2403:e440::/32,ipv6,AS138096,PT INFORMASI NUSANTARA TEKNOLOGI
103.124.198.0/24,ipv4,AS138096,PT INFORMASI NUSANTARA TEKNOLOGI
103.124.199.0/24,ipv4,AS138096,PT INFORMASI NUSANTARA TEKNOLOGI
103.124.197.0/24,ipv4,AS138096,PT INFORMASI NUSANTARA TEKNOLOGI
103.85.15.0/24,ipv4,AS138096,PT INFORMASI NUSANTARA TEKNOLOGI
