prefix,ip_version,asn,asn_name
103.164.173.0/24,ipv4,AS138131,CV. NATANETWORK SOLUTION
103.164.172.0/24,ipv4,AS138131,CV. NATANETWORK SOLUTION
160.187.143.0/24,ipv4,AS138131,CV. NATANETWORK SOLUTION
103.133.56.0/24,ipv4,AS138131,CV. NATANETWORK SOLUTION
103.180.165.0/24,ipv4,AS138131,CV. NATANETWORK SOLUTION
103.121.122.0/24,ipv4,AS138131,CV. NATANETWORK SOLUTION
103.142.21.0/24,ipv4,AS138131,CV. NATANETWORK SOLUTION
103.115.164.0/24,ipv4,AS138131,CV. NATANETWORK SOLUTION
103.180.164.0/24,ipv4,AS138131,CV. NATANETWORK SOLUTION
157.15.77.0/24,ipv4,AS138131,CV. NATANETWORK SOLUTION
