prefix,ip_version,asn,asn_name
203.161.25.0/24,ipv4,AS138823,PT. Trimitra Usaha Sejahtera
2405:c9c0::/33,ipv6,AS138823,PT. Trimitra Usaha Sejahtera
202.73.104.0/22,ipv4,AS138823,PT. Trimitra Usaha Sejahtera
2405:c9c0:2900::/40,ipv6,AS138823,PT. Trimitra Usaha Sejahtera
2405:c9c0:29::/48,ipv6,AS138823,PT. Trimitra Usaha Sejahtera
203.161.24.0/24,ipv4,AS138823,PT. Trimitra Usaha Sejahtera
203.161.28.0/24,ipv4,AS138823,PT. Trimitra Usaha Sejahtera
203.161.28.0/22,ipv4,AS138823,PT. Trimitra Usaha Sejahtera
203.161.27.0/24,ipv4,AS138823,PT. Trimitra Usaha Sejahtera
203.161.29.0/24,ipv4,AS138823,PT. Trimitra Usaha Sejahtera
103.4.100.0/23,ipv4,AS138823,PT. Trimitra Usaha Sejahtera
2405:c9c0::/32,ipv6,AS138823,PT. Trimitra Usaha Sejahtera
2405:c9c0:f000::/36,ipv6,AS138823,PT. Trimitra Usaha Sejahtera
203.161.24.0/21,ipv4,AS138823,PT. Trimitra Usaha Sejahtera
203.161.30.0/23,ipv4,AS138823,PT. Trimitra Usaha Sejahtera
203.161.26.0/24,ipv4,AS138823,PT. Trimitra Usaha Sejahtera
203.161.30.0/24,ipv4,AS138823,PT. Trimitra Usaha Sejahtera
2405:c9c0:4000::/34,ipv6,AS138823,PT. Trimitra Usaha Sejahtera
203.161.24.0/22,ipv4,AS138823,PT. Trimitra Usaha Sejahtera
203.161.31.0/24,ipv4,AS138823,PT. Trimitra Usaha Sejahtera
2405:c9c0:1388::/48,ipv6,AS138823,PT. Trimitra Usaha Sejahtera
202.73.104.0/23,ipv4,AS138823,PT. Trimitra Usaha Sejahtera
203.161.24.0/23,ipv4,AS138823,PT. Trimitra Usaha Sejahtera
2405:c9c0:290::/48,ipv6,AS138823,PT. Trimitra Usaha Sejahtera
2405:c9c0:8000::/33,ipv6,AS138823,PT. Trimitra Usaha Sejahtera
203.161.26.0/23,ipv4,AS138823,PT. Trimitra Usaha Sejahtera
2405:c9c0:c000::/34,ipv6,AS138823,PT. Trimitra Usaha Sejahtera
2405:c9c0:294::/48,ipv6,AS138823,PT. Trimitra Usaha Sejahtera
2405:c9c0:138::/48,ipv6,AS138823,PT. Trimitra Usaha Sejahtera
