prefix,ip_version,asn,asn_name
103.176.66.0/24,ipv4,AS138839,PT Adidaya Infocom Lestari
103.138.15.0/24,ipv4,AS138839,PT Adidaya Infocom Lestari
103.166.92.0/24,ipv4,AS138839,PT Adidaya Infocom Lestari
103.166.92.0/23,ipv4,AS138839,PT Adidaya Infocom Lestari
103.176.67.0/24,ipv4,AS138839,PT Adidaya Infocom Lestari
2404:bdc0:a11::/48,ipv6,AS138839,PT Adidaya Infocom Lestari
2404:bdc0:10::/48,ipv6,AS138839,PT Adidaya Infocom Lestari
2404:bdc0::/48,ipv6,AS138839,PT Adidaya Infocom Lestari
103.138.14.0/24,ipv4,AS138839,PT Adidaya Infocom Lestari
2404:bdc0:1::/48,ipv6,AS138839,PT Adidaya Infocom Lestari
103.166.93.0/24,ipv4,AS138839,PT Adidaya Infocom Lestari
