prefix,ip_version,asn,asn_name
103.170.235.0/24,ipv4,AS138855,PT iForte Solusi Infotek
103.171.23.0/24,ipv4,AS138855,PT iForte Solusi Infotek
103.171.22.0/24,ipv4,AS138855,PT iForte Solusi Infotek
103.169.222.0/23,ipv4,AS138855,PT iForte Solusi Infotek
103.170.236.0/24,ipv4,AS138855,PT iForte Solusi Infotek
103.169.222.0/24,ipv4,AS138855,PT iForte Solusi Infotek
103.170.234.0/23,ipv4,AS138855,PT iForte Solusi Infotek
103.170.236.0/23,ipv4,AS138855,PT iForte Solusi Infotek
103.169.223.0/24,ipv4,AS138855,PT iForte Solusi Infotek
103.170.234.0/24,ipv4,AS138855,PT iForte Solusi Infotek
103.170.237.0/24,ipv4,AS138855,PT iForte Solusi Infotek
103.171.22.0/23,ipv4,AS138855,PT iForte Solusi Infotek
