prefix,ip_version,asn,asn_name
2404:d8c0:464::/48,ipv6,AS138860,PT. JAYA LINTAS INDONESIA
103.152.92.0/24,ipv4,AS138860,PT. JAYA LINTAS INDONESIA
103.152.93.0/24,ipv4,AS138860,PT. JAYA LINTAS INDONESIA
103.139.26.0/23,ipv4,AS138860,PT. JAYA LINTAS INDONESIA
2404:d8c0:3322::/48,ipv6,AS138860,PT. JAYA LINTAS INDONESIA
103.139.27.0/24,ipv4,AS138860,PT. JAYA LINTAS INDONESIA
2404:d8c0:fe00::/40,ipv6,AS138860,PT. JAYA LINTAS INDONESIA
2404:d8c0::/32,ipv6,AS138860,PT. JAYA LINTAS INDONESIA
2404:d8c0:3174::/48,ipv6,AS138860,PT. JAYA LINTAS INDONESIA
103.139.26.0/24,ipv4,AS138860,PT. JAYA LINTAS INDONESIA
2404:d8c0:460::/44,ipv6,AS138860,PT. JAYA LINTAS INDONESIA
