prefix,ip_version,asn,asn_name
2405:c0:1100::/48,ipv6,AS138881,PT INDONESIA TRANS NETWORK
2405:c0:90::/48,ipv6,AS138881,PT INDONESIA TRANS NETWORK
203.210.95.0/24,ipv4,AS138881,PT INDONESIA TRANS NETWORK
2405:c0:d400::/40,ipv6,AS138881,PT INDONESIA TRANS NETWORK
2405:c0:d600::/40,ipv6,AS138881,PT INDONESIA TRANS NETWORK
2405:c0:50::/48,ipv6,AS138881,PT INDONESIA TRANS NETWORK
2405:c0:d500::/40,ipv6,AS138881,PT INDONESIA TRANS NETWORK
103.169.238.0/24,ipv4,AS138881,PT INDONESIA TRANS NETWORK
2405:c0:1000::/48,ipv6,AS138881,PT INDONESIA TRANS NETWORK
2405:c0:60::/48,ipv6,AS138881,PT INDONESIA TRANS NETWORK
2405:c0::/32,ipv6,AS138881,PT INDONESIA TRANS NETWORK
2405:c0:d1::/48,ipv6,AS138881,PT INDONESIA TRANS NETWORK
2405:c0:10::/48,ipv6,AS138881,PT INDONESIA TRANS NETWORK
103.169.239.0/24,ipv4,AS138881,PT INDONESIA TRANS NETWORK
2405:c0:70::/48,ipv6,AS138881,PT INDONESIA TRANS NETWORK
103.169.238.0/23,ipv4,AS138881,PT INDONESIA TRANS NETWORK
2405:c0:20::/48,ipv6,AS138881,PT INDONESIA TRANS NETWORK
103.140.189.0/24,ipv4,AS138881,PT INDONESIA TRANS NETWORK
2405:c0:30::/48,ipv6,AS138881,PT INDONESIA TRANS NETWORK
2405:c0:d200::/40,ipv6,AS138881,PT INDONESIA TRANS NETWORK
203.210.94.0/24,ipv4,AS138881,PT INDONESIA TRANS NETWORK
2405:c0:d100::/40,ipv6,AS138881,PT INDONESIA TRANS NETWORK
103.140.188.0/24,ipv4,AS138881,PT INDONESIA TRANS NETWORK
103.59.44.0/24,ipv4,AS138881,PT INDONESIA TRANS NETWORK
103.140.188.0/23,ipv4,AS138881,PT INDONESIA TRANS NETWORK
203.210.94.0/23,ipv4,AS138881,PT INDONESIA TRANS NETWORK
2405:c0:80::/48,ipv6,AS138881,PT INDONESIA TRANS NETWORK
2405:c0:40::/48,ipv6,AS138881,PT INDONESIA TRANS NETWORK
2405:c0:1001::/48,ipv6,AS138881,PT INDONESIA TRANS NETWORK
103.59.44.0/23,ipv4,AS138881,PT INDONESIA TRANS NETWORK
103.59.45.0/24,ipv4,AS138881,PT INDONESIA TRANS NETWORK
