prefix,ip_version,asn,asn_name
103.163.37.0/24,ipv4,AS138886,PT Data Buana Nusantara
202.58.72.0/24,ipv4,AS138886,PT Data Buana Nusantara
202.154.44.0/24,ipv4,AS138886,PT Data Buana Nusantara
210.87.118.0/23,ipv4,AS138886,PT Data Buana Nusantara
103.189.122.0/24,ipv4,AS138886,PT Data Buana Nusantara
103.141.108.0/24,ipv4,AS138886,PT Data Buana Nusantara
2405:1640::/32,ipv6,AS138886,PT Data Buana Nusantara
210.87.119.0/24,ipv4,AS138886,PT Data Buana Nusantara
2405:1640:3::/48,ipv6,AS138886,PT Data Buana Nusantara
103.189.121.0/24,ipv4,AS138886,PT Data Buana Nusantara
103.141.109.0/24,ipv4,AS138886,PT Data Buana Nusantara
103.13.137.0/24,ipv4,AS138886,PT Data Buana Nusantara
202.58.79.0/24,ipv4,AS138886,PT Data Buana Nusantara
103.141.108.0/23,ipv4,AS138886,PT Data Buana Nusantara
202.154.45.0/24,ipv4,AS138886,PT Data Buana Nusantara
117.18.20.0/24,ipv4,AS138886,PT Data Buana Nusantara
2405:1640:5::/48,ipv6,AS138886,PT Data Buana Nusantara
117.18.20.0/22,ipv4,AS138886,PT Data Buana Nusantara
103.189.120.0/24,ipv4,AS138886,PT Data Buana Nusantara
202.58.78.0/24,ipv4,AS138886,PT Data Buana Nusantara
210.87.118.0/24,ipv4,AS138886,PT Data Buana Nusantara
117.18.21.0/24,ipv4,AS138886,PT Data Buana Nusantara
2405:1640:1::/48,ipv6,AS138886,PT Data Buana Nusantara
103.73.159.0/24,ipv4,AS138886,PT Data Buana Nusantara
202.58.75.0/24,ipv4,AS138886,PT Data Buana Nusantara
103.163.36.0/24,ipv4,AS138886,PT Data Buana Nusantara
2405:1640:4::/48,ipv6,AS138886,PT Data Buana Nusantara
202.58.76.0/24,ipv4,AS138886,PT Data Buana Nusantara
2405:1640:7::/48,ipv6,AS138886,PT Data Buana Nusantara
117.18.23.0/24,ipv4,AS138886,PT Data Buana Nusantara
202.58.77.0/24,ipv4,AS138886,PT Data Buana Nusantara
202.58.73.0/24,ipv4,AS138886,PT Data Buana Nusantara
2405:1640:2::/48,ipv6,AS138886,PT Data Buana Nusantara
202.58.74.0/24,ipv4,AS138886,PT Data Buana Nusantara
2405:1640:8::/48,ipv6,AS138886,PT Data Buana Nusantara
117.18.22.0/24,ipv4,AS138886,PT Data Buana Nusantara
