prefix,ip_version,asn,asn_name
2405:77c0:1009::/48,ipv6,AS139449,PT Lintas Data Multimedia
2405:77c0:1007::/48,ipv6,AS139449,PT Lintas Data Multimedia
2405:77c0:1001::/48,ipv6,AS139449,PT Lintas Data Multimedia
2405:77c0:1008::/48,ipv6,AS139449,PT Lintas Data Multimedia
2405:77c0:1002::/48,ipv6,AS139449,PT Lintas Data Multimedia
2405:77c0::/32,ipv6,AS139449,PT Lintas Data Multimedia
103.145.34.0/24,ipv4,AS139449,PT Lintas Data Multimedia
2405:77c0:1003::/48,ipv6,AS139449,PT Lintas Data Multimedia
2405:77c0:1006::/48,ipv6,AS139449,PT Lintas Data Multimedia
103.179.216.0/23,ipv4,AS139449,PT Lintas Data Multimedia
2405:77c0:1000::/48,ipv6,AS139449,PT Lintas Data Multimedia
2405:77c0:1005::/48,ipv6,AS139449,PT Lintas Data Multimedia
2405:77c0:1004::/48,ipv6,AS139449,PT Lintas Data Multimedia
103.145.35.0/24,ipv4,AS139449,PT Lintas Data Multimedia
103.179.217.0/24,ipv4,AS139449,PT Lintas Data Multimedia
103.179.216.0/24,ipv4,AS139449,PT Lintas Data Multimedia
