prefix,ip_version,asn,asn_name
103.18.29.0/24,ipv4,AS139938,PT Bintang Global Abadi
27.123.4.0/24,ipv4,AS139938,PT Bintang Global Abadi
150.107.249.0/24,ipv4,AS139938,PT Bintang Global Abadi
27.123.7.0/24,ipv4,AS139938,PT Bintang Global Abadi
103.18.28.0/24,ipv4,AS139938,PT Bintang Global Abadi
103.18.28.0/22,ipv4,AS139938,PT Bintang Global Abadi
27.123.1.0/24,ipv4,AS139938,PT Bintang Global Abadi
27.123.0.0/24,ipv4,AS139938,PT Bintang Global Abadi
103.18.30.0/24,ipv4,AS139938,PT Bintang Global Abadi
103.18.31.0/24,ipv4,AS139938,PT Bintang Global Abadi
150.107.250.0/24,ipv4,AS139938,PT Bintang Global Abadi
27.123.5.0/24,ipv4,AS139938,PT Bintang Global Abadi
27.123.2.0/24,ipv4,AS139938,PT Bintang Global Abadi
27.123.6.0/24,ipv4,AS139938,PT Bintang Global Abadi
150.107.248.0/24,ipv4,AS139938,PT Bintang Global Abadi
27.123.0.0/21,ipv4,AS139938,PT Bintang Global Abadi
27.123.3.0/24,ipv4,AS139938,PT Bintang Global Abadi
202.43.115.0/24,ipv4,AS139938,PT Bintang Global Abadi
150.107.251.0/24,ipv4,AS139938,PT Bintang Global Abadi
150.107.248.0/22,ipv4,AS139938,PT Bintang Global Abadi
202.43.114.0/24,ipv4,AS139938,PT Bintang Global Abadi
202.43.114.0/23,ipv4,AS139938,PT Bintang Global Abadi
