prefix,ip_version,asn,asn_name
103.174.113.0/24,ipv4,AS139952,PT Trisari Data Indonusa
203.175.125.0/24,ipv4,AS139952,PT Trisari Data Indonusa
38.253.224.0/24,ipv4,AS139952,PT Trisari Data Indonusa
103.245.27.0/24,ipv4,AS139952,PT Trisari Data Indonusa
103.178.170.0/24,ipv4,AS139952,PT Trisari Data Indonusa
103.178.171.0/24,ipv4,AS139952,PT Trisari Data Indonusa
2405:b140::/48,ipv6,AS139952,PT Trisari Data Indonusa
103.147.76.0/24,ipv4,AS139952,PT Trisari Data Indonusa
157.15.40.0/24,ipv4,AS139952,PT Trisari Data Indonusa
103.175.24.0/24,ipv4,AS139952,PT Trisari Data Indonusa
203.175.124.0/24,ipv4,AS139952,PT Trisari Data Indonusa
157.15.41.0/24,ipv4,AS139952,PT Trisari Data Indonusa
103.162.220.0/24,ipv4,AS139952,PT Trisari Data Indonusa
103.175.25.0/24,ipv4,AS139952,PT Trisari Data Indonusa
103.31.241.0/24,ipv4,AS139952,PT Trisari Data Indonusa
103.162.221.0/24,ipv4,AS139952,PT Trisari Data Indonusa
103.160.184.0/24,ipv4,AS139952,PT Trisari Data Indonusa
103.147.77.0/24,ipv4,AS139952,PT Trisari Data Indonusa
103.160.185.0/24,ipv4,AS139952,PT Trisari Data Indonusa
103.174.112.0/24,ipv4,AS139952,PT Trisari Data Indonusa
103.245.26.0/24,ipv4,AS139952,PT Trisari Data Indonusa
103.31.240.0/24,ipv4,AS139952,PT Trisari Data Indonusa
