prefix,ip_version,asn,asn_name
2405:9cc0:181::/48,ipv6,AS139967,PT. Yasmin Amanah Media
2405:9cc0:108::/48,ipv6,AS139967,PT. Yasmin Amanah Media
103.146.185.0/24,ipv4,AS139967,PT. Yasmin Amanah Media
2405:9cc0:1120::/48,ipv6,AS139967,PT. Yasmin Amanah Media
103.91.149.0/24,ipv4,AS139967,PT. Yasmin Amanah Media
2405:9cc0:130::/48,ipv6,AS139967,PT. Yasmin Amanah Media
2405:9cc0:111::/48,ipv6,AS139967,PT. Yasmin Amanah Media
2405:9cc0:ca01::/48,ipv6,AS139967,PT. Yasmin Amanah Media
2405:9cc0:1000::/48,ipv6,AS139967,PT. Yasmin Amanah Media
2405:9cc0:999::/48,ipv6,AS139967,PT. Yasmin Amanah Media
2405:9cc0:114::/48,ipv6,AS139967,PT. Yasmin Amanah Media
2405:9cc0:ccaf::/48,ipv6,AS139967,PT. Yasmin Amanah Media
103.183.11.0/24,ipv4,AS139967,PT. Yasmin Amanah Media
103.183.10.0/24,ipv4,AS139967,PT. Yasmin Amanah Media
2405:9cc0:132::/48,ipv6,AS139967,PT. Yasmin Amanah Media
2405:9cc0:99a::/48,ipv6,AS139967,PT. Yasmin Amanah Media
2405:9cc0:2000::/48,ipv6,AS139967,PT. Yasmin Amanah Media
2405:9cc0::/32,ipv6,AS139967,PT. Yasmin Amanah Media
2405:9cc0:112::/48,ipv6,AS139967,PT. Yasmin Amanah Media
2405:9cc0:2001::/48,ipv6,AS139967,PT. Yasmin Amanah Media
2405:9cc0:1125::/48,ipv6,AS139967,PT. Yasmin Amanah Media
2405:9cc0:c068::/48,ipv6,AS139967,PT. Yasmin Amanah Media
103.166.11.0/24,ipv4,AS139967,PT. Yasmin Amanah Media
2405:9cc0:151::/48,ipv6,AS139967,PT. Yasmin Amanah Media
103.101.143.0/24,ipv4,AS139967,PT. Yasmin Amanah Media
2405:9cc0:99b::/48,ipv6,AS139967,PT. Yasmin Amanah Media
2405:9cc0:175::/48,ipv6,AS139967,PT. Yasmin Amanah Media
103.146.184.0/24,ipv4,AS139967,PT. Yasmin Amanah Media
2405:9cc0:575a::/48,ipv6,AS139967,PT. Yasmin Amanah Media
2405:9cc0:125::/48,ipv6,AS139967,PT. Yasmin Amanah Media
2405:9cc0:127::/48,ipv6,AS139967,PT. Yasmin Amanah Media
103.169.195.0/24,ipv4,AS139967,PT. Yasmin Amanah Media
2405:9cc0:120a::/48,ipv6,AS139967,PT. Yasmin Amanah Media
2405:9cc0:575b::/48,ipv6,AS139967,PT. Yasmin Amanah Media
2405:9cc0:136::/48,ipv6,AS139967,PT. Yasmin Amanah Media
