prefix,ip_version,asn,asn_name
103.71.162.0/23,ipv4,AS139981,PT. Menaksopal Link Nusantara
103.71.161.0/24,ipv4,AS139981,PT. Menaksopal Link Nusantara
103.148.24.0/24,ipv4,AS139981,PT. Menaksopal Link Nusantara
157.66.84.0/23,ipv4,AS139981,PT. Menaksopal Link Nusantara
157.66.84.0/24,ipv4,AS139981,PT. Menaksopal Link Nusantara
2405:c8c0::/32,ipv6,AS139981,PT. Menaksopal Link Nusantara
103.71.162.0/24,ipv4,AS139981,PT. Menaksopal Link Nusantara
103.148.25.0/24,ipv4,AS139981,PT. Menaksopal Link Nusantara
103.71.160.0/23,ipv4,AS139981,PT. Menaksopal Link Nusantara
103.80.98.0/24,ipv4,AS139981,PT. Menaksopal Link Nusantara
103.80.98.0/23,ipv4,AS139981,PT. Menaksopal Link Nusantara
103.71.163.0/24,ipv4,AS139981,PT. Menaksopal Link Nusantara
103.148.24.0/23,ipv4,AS139981,PT. Menaksopal Link Nusantara
103.71.160.0/24,ipv4,AS139981,PT. Menaksopal Link Nusantara
