prefix,ip_version,asn,asn_name
103.148.77.0/24,ipv4,AS139989,CV Atha Media Prima
2001:df2:c280::/48,ipv6,AS139989,CV Atha Media Prima
154.51.251.0/24,ipv4,AS139989,CV Atha Media Prima
151.243.41.0/24,ipv4,AS139989,CV Atha Media Prima
151.242.80.0/24,ipv4,AS139989,CV Atha Media Prima
38.191.91.0/24,ipv4,AS139989,CV Atha Media Prima
41.216.177.0/24,ipv4,AS139989,CV Atha Media Prima
154.127.62.0/24,ipv4,AS139989,CV Atha Media Prima
41.216.178.0/24,ipv4,AS139989,CV Atha Media Prima
41.216.180.0/24,ipv4,AS139989,CV Atha Media Prima
103.148.76.0/24,ipv4,AS139989,CV Atha Media Prima
2a10:cc40:116::/48,ipv6,AS139989,CV Atha Media Prima
41.216.185.0/24,ipv4,AS139989,CV Atha Media Prima
154.51.250.0/24,ipv4,AS139989,CV Atha Media Prima
