prefix,ip_version,asn,asn_name
2406:1340::/33,ipv6,AS140407,KitaNet
2406:1340::/32,ipv6,AS140407,KitaNet
103.151.33.0/24,ipv4,AS140407,KitaNet
103.122.154.0/23,ipv4,AS140407,KitaNet
103.122.152.0/23,ipv4,AS140407,KitaNet
103.122.155.0/24,ipv4,AS140407,KitaNet
103.122.152.0/22,ipv4,AS140407,KitaNet
2406:1340:100::/40,ipv6,AS140407,KitaNet
2406:1340:8000::/33,ipv6,AS140407,KitaNet
103.151.32.0/23,ipv4,AS140407,KitaNet
2001:df1:3fc0::/48,ipv6,AS140407,KitaNet
103.122.152.0/24,ipv4,AS140407,KitaNet
103.166.234.0/24,ipv4,AS140407,KitaNet
103.122.153.0/24,ipv4,AS140407,KitaNet
103.122.154.0/24,ipv4,AS140407,KitaNet
103.151.32.0/24,ipv4,AS140407,KitaNet
