prefix,ip_version,asn,asn_name
103.210.68.0/24,ipv4,AS141107,PT Linkgo Metro Teknologi
103.169.7.0/24,ipv4,AS141107,PT Linkgo Metro Teknologi
103.66.86.0/24,ipv4,AS141107,PT Linkgo Metro Teknologi
103.157.27.0/24,ipv4,AS141107,PT Linkgo Metro Teknologi
103.210.69.0/24,ipv4,AS141107,PT Linkgo Metro Teknologi
103.157.26.0/24,ipv4,AS141107,PT Linkgo Metro Teknologi
103.187.106.0/24,ipv4,AS141107,PT Linkgo Metro Teknologi
103.169.6.0/24,ipv4,AS141107,PT Linkgo Metro Teknologi
103.216.188.0/24,ipv4,AS141107,PT Linkgo Metro Teknologi
103.220.47.0/24,ipv4,AS141107,PT Linkgo Metro Teknologi
124.109.22.0/24,ipv4,AS141107,PT Linkgo Metro Teknologi
