prefix,ip_version,asn,asn_name
45.198.232.0/23,ipv4,AS141109,PT Omni Cloud Indonesia
45.198.7.0/24,ipv4,AS141109,PT Omni Cloud Indonesia
45.198.233.0/24,ipv4,AS141109,PT Omni Cloud Indonesia
45.198.6.0/23,ipv4,AS141109,PT Omni Cloud Indonesia
103.157.32.0/23,ipv4,AS141109,PT Omni Cloud Indonesia
103.242.151.0/24,ipv4,AS141109,PT Omni Cloud Indonesia
45.198.232.0/24,ipv4,AS141109,PT Omni Cloud Indonesia
103.242.150.0/23,ipv4,AS141109,PT Omni Cloud Indonesia
103.157.32.0/24,ipv4,AS141109,PT Omni Cloud Indonesia
154.209.94.0/24,ipv4,AS141109,PT Omni Cloud Indonesia
154.81.158.0/24,ipv4,AS141109,PT Omni Cloud Indonesia
156.230.22.0/24,ipv4,AS141109,PT Omni Cloud Indonesia
103.242.150.0/24,ipv4,AS141109,PT Omni Cloud Indonesia
45.196.133.0/24,ipv4,AS141109,PT Omni Cloud Indonesia
154.209.93.0/24,ipv4,AS141109,PT Omni Cloud Indonesia
103.157.33.0/24,ipv4,AS141109,PT Omni Cloud Indonesia
