prefix,ip_version,asn,asn_name
2406:a4c0:2::/48,ipv6,AS141120,PT Warna Data Multimedia
157.20.158.0/24,ipv4,AS141120,PT Warna Data Multimedia
2406:a4c0:1::/48,ipv6,AS141120,PT Warna Data Multimedia
2406:a4c0:4::/48,ipv6,AS141120,PT Warna Data Multimedia
2406:a4c0:9::/48,ipv6,AS141120,PT Warna Data Multimedia
103.235.74.0/24,ipv4,AS141120,PT Warna Data Multimedia
2406:a4c0:8::/48,ipv6,AS141120,PT Warna Data Multimedia
2406:a4c0:5::/48,ipv6,AS141120,PT Warna Data Multimedia
103.189.164.0/24,ipv4,AS141120,PT Warna Data Multimedia
2406:a4c0:10::/48,ipv6,AS141120,PT Warna Data Multimedia
103.157.146.0/24,ipv4,AS141120,PT Warna Data Multimedia
157.20.159.0/24,ipv4,AS141120,PT Warna Data Multimedia
2406:a4c0:7::/48,ipv6,AS141120,PT Warna Data Multimedia
2406:a4c0:3::/48,ipv6,AS141120,PT Warna Data Multimedia
2406:a4c0:6::/48,ipv6,AS141120,PT Warna Data Multimedia
