prefix,ip_version,asn,asn_name
103.158.252.0/23,ipv4,AS141137,PT Media Cepat Indonesia
202.56.170.0/24,ipv4,AS141137,PT Media Cepat Indonesia
2406:c640::/32,ipv6,AS141137,PT Media Cepat Indonesia
103.105.217.0/24,ipv4,AS141137,PT Media Cepat Indonesia
202.56.170.0/23,ipv4,AS141137,PT Media Cepat Indonesia
103.158.252.0/24,ipv4,AS141137,PT Media Cepat Indonesia
103.158.253.0/24,ipv4,AS141137,PT Media Cepat Indonesia
103.167.11.0/24,ipv4,AS141137,PT Media Cepat Indonesia
202.56.171.0/24,ipv4,AS141137,PT Media Cepat Indonesia
2406:c640:140::/48,ipv6,AS141137,PT Media Cepat Indonesia
