prefix,ip_version,asn,asn_name
2400:f060:6::/48,ipv6,AS141607,PT Gayatri Lintas Nusantara
210.79.143.0/24,ipv4,AS141607,PT Gayatri Lintas Nusantara
2400:f060:8::/48,ipv6,AS141607,PT Gayatri Lintas Nusantara
2400:f060:1::/48,ipv6,AS141607,PT Gayatri Lintas Nusantara
2400:f060:4::/48,ipv6,AS141607,PT Gayatri Lintas Nusantara
202.154.36.0/24,ipv4,AS141607,PT Gayatri Lintas Nusantara
202.154.37.0/24,ipv4,AS141607,PT Gayatri Lintas Nusantara
2400:f060:3::/48,ipv6,AS141607,PT Gayatri Lintas Nusantara
2400:f060:2::/48,ipv6,AS141607,PT Gayatri Lintas Nusantara
103.220.23.0/24,ipv4,AS141607,PT Gayatri Lintas Nusantara
103.220.22.0/24,ipv4,AS141607,PT Gayatri Lintas Nusantara
103.160.69.0/24,ipv4,AS141607,PT Gayatri Lintas Nusantara
103.160.68.0/24,ipv4,AS141607,PT Gayatri Lintas Nusantara
210.79.142.0/24,ipv4,AS141607,PT Gayatri Lintas Nusantara
2400:f060:5::/48,ipv6,AS141607,PT Gayatri Lintas Nusantara
202.154.17.0/24,ipv4,AS141607,PT Gayatri Lintas Nusantara
2400:f060:7::/48,ipv6,AS141607,PT Gayatri Lintas Nusantara
