prefix,ip_version,asn,asn_name
2407:9440:32::/48,ipv6,AS141626,PT Sandya Sistem Indonesia
2407:9440:71::/48,ipv6,AS141626,PT Sandya Sistem Indonesia
116.212.97.0/24,ipv4,AS141626,PT Sandya Sistem Indonesia
2407:9440:24::/48,ipv6,AS141626,PT Sandya Sistem Indonesia
2407:9440:61::/48,ipv6,AS141626,PT Sandya Sistem Indonesia
2407:9440:1::/48,ipv6,AS141626,PT Sandya Sistem Indonesia
2407:9440:41::/48,ipv6,AS141626,PT Sandya Sistem Indonesia
2407:9440:63::/48,ipv6,AS141626,PT Sandya Sistem Indonesia
116.212.99.0/24,ipv4,AS141626,PT Sandya Sistem Indonesia
2407:9440:11::/48,ipv6,AS141626,PT Sandya Sistem Indonesia
103.161.128.0/24,ipv4,AS141626,PT Sandya Sistem Indonesia
2407:9440::/48,ipv6,AS141626,PT Sandya Sistem Indonesia
2407:9440:34::/48,ipv6,AS141626,PT Sandya Sistem Indonesia
2407:9440:51::/48,ipv6,AS141626,PT Sandya Sistem Indonesia
2407:9440:10::/48,ipv6,AS141626,PT Sandya Sistem Indonesia
2407:9440::/32,ipv6,AS141626,PT Sandya Sistem Indonesia
116.212.98.0/24,ipv4,AS141626,PT Sandya Sistem Indonesia
2407:9440:62::/48,ipv6,AS141626,PT Sandya Sistem Indonesia
116.212.102.0/24,ipv4,AS141626,PT Sandya Sistem Indonesia
2407:9440:22::/48,ipv6,AS141626,PT Sandya Sistem Indonesia
2407:9440:12::/48,ipv6,AS141626,PT Sandya Sistem Indonesia
2407:9440:33::/48,ipv6,AS141626,PT Sandya Sistem Indonesia
116.212.98.0/23,ipv4,AS141626,PT Sandya Sistem Indonesia
2407:9440:21::/48,ipv6,AS141626,PT Sandya Sistem Indonesia
116.212.96.0/24,ipv4,AS141626,PT Sandya Sistem Indonesia
2407:9440:31::/48,ipv6,AS141626,PT Sandya Sistem Indonesia
2407:9440:23::/48,ipv6,AS141626,PT Sandya Sistem Indonesia
116.212.102.0/23,ipv4,AS141626,PT Sandya Sistem Indonesia
103.169.226.0/24,ipv4,AS141626,PT Sandya Sistem Indonesia
116.212.103.0/24,ipv4,AS141626,PT Sandya Sistem Indonesia
2407:9440:52::/48,ipv6,AS141626,PT Sandya Sistem Indonesia
116.212.96.0/23,ipv4,AS141626,PT Sandya Sistem Indonesia
116.212.96.0/22,ipv4,AS141626,PT Sandya Sistem Indonesia
2407:9440:13::/48,ipv6,AS141626,PT Sandya Sistem Indonesia
