prefix,ip_version,asn,asn_name
202.58.68.0/24,ipv4,AS141673,PT Mamura Inter Media
202.58.64.0/24,ipv4,AS141673,PT Mamura Inter Media
202.58.67.0/24,ipv4,AS141673,PT Mamura Inter Media
202.58.64.0/22,ipv4,AS141673,PT Mamura Inter Media
202.58.69.0/24,ipv4,AS141673,PT Mamura Inter Media
202.58.64.0/21,ipv4,AS141673,PT Mamura Inter Media
103.163.103.0/24,ipv4,AS141673,PT Mamura Inter Media
103.163.102.0/23,ipv4,AS141673,PT Mamura Inter Media
103.210.52.0/24,ipv4,AS141673,PT Mamura Inter Media
202.58.68.0/22,ipv4,AS141673,PT Mamura Inter Media
103.163.102.0/24,ipv4,AS141673,PT Mamura Inter Media
103.210.53.0/24,ipv4,AS141673,PT Mamura Inter Media
202.58.65.0/24,ipv4,AS141673,PT Mamura Inter Media
202.58.64.0/23,ipv4,AS141673,PT Mamura Inter Media
202.58.68.0/23,ipv4,AS141673,PT Mamura Inter Media
202.58.70.0/24,ipv4,AS141673,PT Mamura Inter Media
103.210.52.0/23,ipv4,AS141673,PT Mamura Inter Media
202.58.66.0/24,ipv4,AS141673,PT Mamura Inter Media
202.58.70.0/23,ipv4,AS141673,PT Mamura Inter Media
202.58.66.0/23,ipv4,AS141673,PT Mamura Inter Media
2001:df2:3ec0::/48,ipv6,AS141673,PT Mamura Inter Media
