prefix,ip_version,asn,asn_name
103.186.31.0/24,ipv4,AS141892,CV Andhika Pratama Sanggoro
89.21.85.0/24,ipv4,AS141892,CV Andhika Pratama Sanggoro
212.69.6.0/24,ipv4,AS141892,CV Andhika Pratama Sanggoro
103.186.30.0/24,ipv4,AS141892,CV Andhika Pratama Sanggoro
103.163.161.0/24,ipv4,AS141892,CV Andhika Pratama Sanggoro
31.56.56.0/24,ipv4,AS141892,CV Andhika Pratama Sanggoro
157.66.54.0/23,ipv4,AS141892,CV Andhika Pratama Sanggoro
157.66.54.0/24,ipv4,AS141892,CV Andhika Pratama Sanggoro
202.73.26.0/24,ipv4,AS141892,CV Andhika Pratama Sanggoro
103.186.30.0/23,ipv4,AS141892,CV Andhika Pratama Sanggoro
157.66.55.0/24,ipv4,AS141892,CV Andhika Pratama Sanggoro
202.73.25.0/24,ipv4,AS141892,CV Andhika Pratama Sanggoro
