prefix,ip_version,asn,asn_name
151.240.0.0/24,ipv4,AS141968,PT Industri Kreatif Digital
103.42.117.0/24,ipv4,AS141968,PT Industri Kreatif Digital
82.25.62.0/24,ipv4,AS141968,PT Industri Kreatif Digital
2407:6ac0:11::/48,ipv6,AS141968,PT Industri Kreatif Digital
2407:6ac0:12::/48,ipv6,AS141968,PT Industri Kreatif Digital
151.243.222.0/24,ipv4,AS141968,PT Industri Kreatif Digital
109.111.53.0/24,ipv4,AS141968,PT Industri Kreatif Digital
103.180.125.0/24,ipv4,AS141968,PT Industri Kreatif Digital
2407:6ac0:9::/48,ipv6,AS141968,PT Industri Kreatif Digital
85.209.163.0/24,ipv4,AS141968,PT Industri Kreatif Digital
2407:6ac0:10::/48,ipv6,AS141968,PT Industri Kreatif Digital
2407:6ac0:5::/48,ipv6,AS141968,PT Industri Kreatif Digital
194.34.255.0/24,ipv4,AS141968,PT Industri Kreatif Digital
2407:6ac0:4::/48,ipv6,AS141968,PT Industri Kreatif Digital
103.180.124.0/24,ipv4,AS141968,PT Industri Kreatif Digital
45.149.187.0/24,ipv4,AS141968,PT Industri Kreatif Digital
103.167.35.0/24,ipv4,AS141968,PT Industri Kreatif Digital
141.11.160.0/24,ipv4,AS141968,PT Industri Kreatif Digital
45.158.126.0/24,ipv4,AS141968,PT Industri Kreatif Digital
178.248.73.0/24,ipv4,AS141968,PT Industri Kreatif Digital
103.177.95.0/24,ipv4,AS141968,PT Industri Kreatif Digital
141.11.190.0/24,ipv4,AS141968,PT Industri Kreatif Digital
109.105.194.0/24,ipv4,AS141968,PT Industri Kreatif Digital
2407:6ac0:7::/48,ipv6,AS141968,PT Industri Kreatif Digital
207.180.19.0/24,ipv4,AS141968,PT Industri Kreatif Digital
103.167.34.0/24,ipv4,AS141968,PT Industri Kreatif Digital
151.245.85.0/24,ipv4,AS141968,PT Industri Kreatif Digital
2407:6ac0:2::/48,ipv6,AS141968,PT Industri Kreatif Digital
98.142.245.0/24,ipv4,AS141968,PT Industri Kreatif Digital
103.42.116.0/24,ipv4,AS141968,PT Industri Kreatif Digital
103.177.94.0/24,ipv4,AS141968,PT Industri Kreatif Digital
141.11.25.0/24,ipv4,AS141968,PT Industri Kreatif Digital
2407:6ac0:1::/48,ipv6,AS141968,PT Industri Kreatif Digital
82.153.226.0/24,ipv4,AS141968,PT Industri Kreatif Digital
109.111.52.0/24,ipv4,AS141968,PT Industri Kreatif Digital
45.66.153.0/24,ipv4,AS141968,PT Industri Kreatif Digital
109.176.17.0/24,ipv4,AS141968,PT Industri Kreatif Digital
2407:6ac0:3::/48,ipv6,AS141968,PT Industri Kreatif Digital
2407:6ac0:6::/48,ipv6,AS141968,PT Industri Kreatif Digital
2407:6ac0:8::/48,ipv6,AS141968,PT Industri Kreatif Digital
45.198.37.0/24,ipv4,AS141968,PT Industri Kreatif Digital
45.198.38.0/24,ipv4,AS141968,PT Industri Kreatif Digital
45.198.39.0/24,ipv4,AS141968,PT Industri Kreatif Digital
45.198.36.0/24,ipv4,AS141968,PT Industri Kreatif Digital
