prefix,ip_version,asn,asn_name
38.191.164.0/24,ipv4,AS142307,PT CYB Media Group
38.46.233.0/24,ipv4,AS142307,PT CYB Media Group
38.191.164.0/23,ipv4,AS142307,PT CYB Media Group
38.226.46.0/24,ipv4,AS142307,PT CYB Media Group
38.226.47.0/24,ipv4,AS142307,PT CYB Media Group
103.179.84.0/24,ipv4,AS142307,PT CYB Media Group
38.46.235.0/24,ipv4,AS142307,PT CYB Media Group
103.168.44.0/24,ipv4,AS142307,PT CYB Media Group
38.226.45.0/24,ipv4,AS142307,PT CYB Media Group
38.188.207.0/24,ipv4,AS142307,PT CYB Media Group
38.226.44.0/24,ipv4,AS142307,PT CYB Media Group
38.46.234.0/24,ipv4,AS142307,PT CYB Media Group
38.46.232.0/24,ipv4,AS142307,PT CYB Media Group
38.191.165.0/24,ipv4,AS142307,PT CYB Media Group
