prefix,ip_version,asn,asn_name
2401:2620:3::/48,ipv6,AS142360,PT Internet Mulia Untuk Negeri
2401:2620:1::/48,ipv6,AS142360,PT Internet Mulia Untuk Negeri
2401:2620:a::/48,ipv6,AS142360,PT Internet Mulia Untuk Negeri
2401:2620:4::/48,ipv6,AS142360,PT Internet Mulia Untuk Negeri
2401:2620:2::/48,ipv6,AS142360,PT Internet Mulia Untuk Negeri
103.147.156.0/24,ipv4,AS142360,PT Internet Mulia Untuk Negeri
103.170.24.0/24,ipv4,AS142360,PT Internet Mulia Untuk Negeri
103.248.216.0/24,ipv4,AS142360,PT Internet Mulia Untuk Negeri
103.170.25.0/24,ipv4,AS142360,PT Internet Mulia Untuk Negeri
2401:2620::/32,ipv6,AS142360,PT Internet Mulia Untuk Negeri
2401:2620:7::/48,ipv6,AS142360,PT Internet Mulia Untuk Negeri
103.147.157.0/24,ipv4,AS142360,PT Internet Mulia Untuk Negeri
2401:2620:9::/48,ipv6,AS142360,PT Internet Mulia Untuk Negeri
43.240.227.0/24,ipv4,AS142360,PT Internet Mulia Untuk Negeri
2401:2620::/48,ipv6,AS142360,PT Internet Mulia Untuk Negeri
103.85.54.0/24,ipv4,AS142360,PT Internet Mulia Untuk Negeri
2401:2620:2620::/48,ipv6,AS142360,PT Internet Mulia Untuk Negeri
2401:2620:8::/48,ipv6,AS142360,PT Internet Mulia Untuk Negeri
103.85.55.0/24,ipv4,AS142360,PT Internet Mulia Untuk Negeri
