prefix,ip_version,asn,asn_name
2401:c7a0::/32,ipv6,AS142373,PT Multi Network Indonesia
103.171.82.0/23,ipv4,AS142373,PT Multi Network Indonesia
2401:c7a0:4000::/34,ipv6,AS142373,PT Multi Network Indonesia
2401:c7a0:ffff::/48,ipv6,AS142373,PT Multi Network Indonesia
2401:c7a0::/34,ipv6,AS142373,PT Multi Network Indonesia
103.171.83.0/24,ipv4,AS142373,PT Multi Network Indonesia
2401:c7a0:fffb::/48,ipv6,AS142373,PT Multi Network Indonesia
2401:c7a0:fffa::/48,ipv6,AS142373,PT Multi Network Indonesia
2401:c7a0:fffc::/48,ipv6,AS142373,PT Multi Network Indonesia
2401:c7a0:c000::/34,ipv6,AS142373,PT Multi Network Indonesia
2401:c7a0:fffd::/48,ipv6,AS142373,PT Multi Network Indonesia
103.171.82.0/24,ipv4,AS142373,PT Multi Network Indonesia
2401:c7a0:8000::/34,ipv6,AS142373,PT Multi Network Indonesia
2401:c7a0:fffe::/48,ipv6,AS142373,PT Multi Network Indonesia
