prefix,ip_version,asn,asn_name
154.18.255.0/24,ipv4,AS142393,PT Media Solusi Sukses
150.107.104.0/24,ipv4,AS142393,PT Media Solusi Sukses
2001:df6:e240::/48,ipv6,AS142393,PT Media Solusi Sukses
103.172.42.0/24,ipv4,AS142393,PT Media Solusi Sukses
150.107.104.0/23,ipv4,AS142393,PT Media Solusi Sukses
38.44.252.0/23,ipv4,AS142393,PT Media Solusi Sukses
38.44.249.0/24,ipv4,AS142393,PT Media Solusi Sukses
38.44.252.0/24,ipv4,AS142393,PT Media Solusi Sukses
103.146.38.0/24,ipv4,AS142393,PT Media Solusi Sukses
38.44.250.0/23,ipv4,AS142393,PT Media Solusi Sukses
150.107.105.0/24,ipv4,AS142393,PT Media Solusi Sukses
