prefix,ip_version,asn,asn_name
157.10.19.0/24,ipv4,AS149360,PT Indo Telemedia Solusi
113.192.30.0/24,ipv4,AS149360,PT Indo Telemedia Solusi
113.192.31.0/24,ipv4,AS149360,PT Indo Telemedia Solusi
103.180.123.0/24,ipv4,AS149360,PT Indo Telemedia Solusi
210.87.93.0/24,ipv4,AS149360,PT Indo Telemedia Solusi
210.87.92.0/24,ipv4,AS149360,PT Indo Telemedia Solusi
2001:df2:f2c0::/48,ipv6,AS149360,PT Indo Telemedia Solusi
210.87.92.0/23,ipv4,AS149360,PT Indo Telemedia Solusi
210.87.101.0/24,ipv4,AS149360,PT Indo Telemedia Solusi
38.253.232.0/24,ipv4,AS149360,PT Indo Telemedia Solusi
210.87.100.0/24,ipv4,AS149360,PT Indo Telemedia Solusi
103.180.122.0/24,ipv4,AS149360,PT Indo Telemedia Solusi
160.19.18.0/23,ipv4,AS149360,PT Indo Telemedia Solusi
